personID,entertainment,hobbies,travel,gifts,donations
126,73.92,0.0,162.81,136.56,0.0
127,130.19,44.88,91.85,35.67,0.0
128,26.01,86.36,189.0,74.86,0.0
129,186.56,0.0,20.51,106.98,0.0
130,179.21,108.62,450.19,135.35,64.19
131,107.74,14.09,36.68,127.97,0.0
132,116.24,67.23,186.68,90.38,0.0
133,75.1,0.0,180.76,50.34,24.55
134,161.19,0.0,93.81,45.1,0.0
135,65.59,26.32,57.43,55.03,0.0
136,141.42,0.0,114.27,73.97,60.81
137,98.88,0.0,172.25,56.41,0.0
138,41.84,0.0,39.37,104.6,0.0
139,34.83,0.0,64.19,134.48,0.0
140,27.73,0.0,154.06,89.96,0.0
141,28.97,112.82,156.61,81.11,77.39
142,91.2,0.0,17.05,34.8,0.0
143,182.19,253.98,635.0,131.27,37.45
144,96.75,0.0,98.42,145.8,0.0
145,299.75,266.38,410.07,129.98,25.66
146,116.54,0.0,223.79,145.46,0.0
147,132.38,0.0,173.34,135.39,0.0
148,57.3,0.0,47.59,55.83,0.0
149,98.33,0.0,16.26,109.37,0.0
150,130.28,88.01,268.43,93.97,0.0
151,56.83,79.32,97.46,53.33,0.0
152,162.65,25.06,10.88,130.94,0.0
153,83.3,184.58,174.72,134.46,293.21
154,124.91,0.0,237.31,55.87,274.12
155,59.96,0.0,28.96,95.37,0.0
156,107.42,0.0,283.5,35.76,110.29
157,103.67,0.0,67.45,56.17,0.0
158,72.25,119.62,166.54,88.27,0.0
159,54.92,0.0,143.44,144.46,0.0
160,146.27,87.87,106.2,80.34,0.0
161,127.41,133.84,176.05,44.83,0.0
162,37.36,0.84,126.42,56.72,0.0
163,85.95,70.98,81.21,105.4,0.0
164,189.02,0.0,380.25,141.43,112.72
165,194.66,156.53,120.78,134.26,0.0
166,47.21,0.0,18.38,131.11,0.0
167,185.74,0.0,177.99,34.81,0.0
168,149.27,76.23,159.95,100.48,0.0
169,67.65,51.57,14.08,85.46,0.0
170,129.35,51.96,10.88,95.97,0.0
171,121.93,0.0,13.92,30.18,0.0
172,99.4,57.22,98.38,89.06,0.0
173,139.93,0.0,98.51,144.73,0.0
174,82.83,0.0,125.48,82.2,0.0
175,114.34,0.0,140.82,74.01,0.0
176,161.61,0.0,88.47,148.01,0.0
177,98.44,0.0,259.34,106.66,0.0
178,70.53,0.0,152.06,76.32,0.0
179,75.42,15.74,22.59,93.36,0.0
180,205.07,0.0,292.15,68.84,30.35
181,73.68,0.0,2.84,104.43,0.0
182,80.44,0.0,40.21,113.03,0.0
183,39.94,0.0,250.74,102.33,178.47
184,38.76,0.0,361.84,66.35,0.0
185,123.85,7.32,21.62,128.71,0.0
186,167.81,95.26,596.41,134.12,163.14
187,142.15,46.49,68.36,113.4,0.0
188,40.41,87.9,126.18,39.79,0.0
189,73.03,0.0,98.27,68.05,0.0
190,178.97,0.0,213.64,91.33,102.13
191,148.81,161.76,186.85,137.24,21.32
192,57.12,95.14,107.51,63.96,0.0
193,42.22,29.05,174.33,66.78,96.58
194,71.74,24.54,41.29,41.28,0.0
195,157.73,90.79,165.12,114.78,64.77
196,50.02,128.7,152.38,99.89,0.0
197,96.57,0.0,18.06,142.43,0.0
198,84.05,0.0,267.98,148.65,0.0
199,82.51,0.0,786.54,41.84,276.78
200,78.12,0.0,406.88,64.17,268.86
201,47.92,79.82,148.17,56.92,0.0
202,140.9,3.51,37.33,104.48,0.0
203,150.73,0.0,74.66,56.87,0.0
204,60.3,0.0,24.82,142.21,0.0
205,154.8,0.0,185.18,107.72,164.66
206,83.03,0.0,26.5,88.75,0.0
207,99.17,6.22,28.83,110.22,0.0
208,41.62,0.0,74.76,147.98,0.0
209,182.22,35.77,25.08,84.41,0.0
210,193.54,0.0,61.34,70.58,0.0
211,51.07,46.46,186.14,69.7,0.0
212,48.75,0.0,49.86,60.6,0.0
213,110.11,14.15,48.63,84.37,0.0
214,158.55,0.0,136.05,110.34,0.0
215,106.02,96.83,189.9,144.26,0.0
216,175.17,0.0,135.21,66.61,0.0
217,69.33,115.75,189.21,72.6,0.0
218,203.72,297.36,512.98,145.97,0.0
219,192.99,183.2,790.28,37.11,48.62
220,68.45,46.73,392.17,148.32,0.0
221,107.79,162.67,383.14,72.57,0.0
222,101.27,35.11,26.4,103.79,0.0
223,124.39,53.9,37.65,66.4,0.0
224,135.8,0.0,72.69,79.37,0.0
225,92.01,0.0,715.54,56.31,0.0
226,198.03,0.0,610.35,48.33,112.55
227,64.58,0.0,109.05,146.73,0.0
228,72.11,65.7,196.82,102.29,0.0
229,83.95,207.37,377.77,39.98,0.0
230,54.51,111.71,180.15,65.05,0.0
231,123.28,61.81,12.68,127.14,0.0
232,62.37,116.04,171.28,90.28,40.22
233,147.57,36.39,49.97,115.84,0.0
234,39.99,104.09,118.89,39.93,0.0
235,85.07,79.46,176.64,76.4,0.0
236,37.69,1.12,196.45,138.25,0.0
237,296.28,90.73,741.21,86.63,158.19
238,93.57,0.0,250.45,60.31,0.0
239,111.33,221.02,334.0,34.81,185.67
240,95.91,0.36,49.8,92.53,0.0
241,55.88,0.0,154.01,114.16,0.0
242,78.0,47.28,21.97,83.01,0.0
243,72.51,42.49,101.69,45.9,0.0
244,69.08,66.89,143.49,92.23,0.0
245,151.25,0.0,48.44,83.21,0.0
246,28.61,0.0,9.87,130.56,0.0
247,144.2,168.82,355.76,129.49,21.09
248,71.88,0.0,126.68,72.81,0.0
249,75.93,59.66,19.09,79.59,0.0
250,65.71,0.0,354.59,55.14,178.07
251,130.81,145.86,722.82,62.22,295.21
252,85.83,0.0,657.78,126.89,0.0
253,58.26,0.0,59.81,143.52,0.0
254,108.39,40.89,180.53,130.86,72.18
255,84.83,74.18,41.75,66.5,0.0
256,103.93,0.0,91.5,104.89,98.38
257,57.83,0.18,30.1,92.88,0.0
258,38.53,38.28,186.18,99.84,61.47
259,220.81,216.82,441.79,48.77,23.4
260,117.92,24.16,20.82,134.74,0.0
261,126.5,57.2,61.86,93.84,0.0
262,40.2,7.68,18.96,82.7,0.0
263,231.51,143.28,250.79,95.2,77.33
264,71.2,62.71,41.99,116.98,0.0
265,31.84,71.65,51.69,99.1,71.87
266,90.87,31.5,25.63,112.11,0.0
267,40.11,8.93,14.9,41.16,0.0
268,94.29,12.75,30.87,66.24,0.0
269,50.29,119.78,59.86,92.2,0.0
270,55.54,17.9,114.92,116.76,0.0
271,121.6,77.36,39.89,104.47,0.0
272,153.99,191.52,201.49,39.08,0.0
273,61.02,0.0,138.42,138.65,0.0
274,79.09,0.0,20.99,90.94,0.0
275,98.52,49.96,23.09,128.1,0.0
276,65.85,110.24,106.56,145.88,0.0
277,39.77,72.82,14.42,47.04,0.0
278,86.56,0.0,6.64,110.1,0.0
279,31.77,0.0,91.58,96.79,0.0
280,52.63,123.01,198.52,47.83,81.71
281,54.55,0.0,192.2,81.73,0.0
282,180.88,3.23,2.12,39.37,0.0
283,137.43,33.92,6.33,45.06,0.0
284,149.65,91.77,176.7,38.21,0.0
285,102.63,6.41,8.8,103.38,0.0
286,127.63,109.72,109.31,106.94,0.0
287,76.99,0.0,4.5,94.56,0.0
288,100.35,7.61,3.51,109.15,0.0
289,173.67,28.35,303.51,129.2,165.72
290,129.41,0.0,172.76,56.76,84.98
291,82.37,15.5,75.05,117.35,0.0
292,103.01,0.0,28.84,44.71,0.0
293,42.3,0.0,35.66,100.8,0.0
294,107.99,0.0,48.51,127.27,0.0
295,179.81,5.84,49.91,148.22,0.0
296,137.83,0.0,470.39,96.11,0.0
297,140.2,47.36,12.54,40.52,0.0
298,50.33,0.0,30.99,82.08,0.0
299,145.67,50.52,76.23,83.02,0.0
300,199.08,41.46,98.33,90.46,44.23
301,65.95,0.0,29.03,106.61,0.0
302,104.67,46.91,56.39,129.39,0.0
303,41.23,0.0,116.3,141.38,0.0
304,92.16,0.0,225.95,131.38,22.89
305,38.72,65.29,64.03,110.82,0.0
306,70.59,0.0,5.51,40.0,0.0
307,188.01,0.0,235.67,55.14,0.0
308,97.39,29.34,6.14,139.4,0.0
309,100.01,0.0,150.84,106.08,0.0
310,69.29,27.52,6.64,131.8,0.0
311,94.32,19.85,206.01,102.15,201.51
312,153.8,92.06,110.81,123.36,0.0
313,56.91,0.0,40.44,122.42,0.0
314,39.38,0.0,132.27,133.44,25.66
315,35.35,102.05,149.95,40.38,0.0
316,156.95,169.29,246.77,138.93,277.13
317,101.53,0.0,16.74,149.64,0.0
318,236.25,74.91,331.3,57.47,109.79
319,199.06,4.4,106.92,107.09,0.0
320,283.45,0.0,308.75,36.15,0.0
321,76.85,0.0,29.14,132.67,0.0
322,60.13,99.0,196.75,44.12,0.0
323,125.18,0.0,12.93,58.15,0.0
324,224.88,0.0,154.63,101.01,0.0
325,34.98,0.0,128.38,149.86,0.0
326,53.78,65.55,12.42,133.8,0.0
327,55.98,65.66,195.07,133.76,0.0
328,129.28,0.0,158.15,119.11,0.0
329,121.73,22.22,13.74,113.86,0.0
330,83.62,0.29,139.15,54.67,45.9
331,101.05,0.0,7.67,108.53,0.0
332,90.96,95.47,179.9,42.34,56.79
333,153.73,120.83,232.93,81.69,0.0
334,108.62,75.33,188.34,120.47,0.0
335,157.1,68.79,19.25,107.71,0.0
336,109.69,62.09,1.88,111.97,0.0
337,70.52,11.39,98.31,42.89,0.0
338,126.92,55.38,165.9,79.34,0.0
339,77.32,0.0,305.22,140.99,0.0
340,237.78,0.0,347.99,134.0,237.08
341,132.15,127.5,151.06,109.74,0.0
342,126.31,55.07,143.32,101.86,0.0
343,57.8,57.94,88.69,35.1,0.0
344,35.29,69.41,143.48,119.65,0.0
345,90.46,13.48,46.85,88.46,0.0
346,135.41,77.01,37.24,70.6,0.0
347,63.18,55.2,7.6,64.05,0.0
348,71.15,0.0,23.3,76.25,0.0
349,46.62,0.0,354.1,148.65,0.0
350,215.63,0.0,171.58,43.24,0.0
351,65.3,101.47,66.91,41.46,0.0
352,55.5,0.0,64.78,55.06,0.0
353,123.03,0.0,95.64,109.19,0.0
354,175.87,187.45,276.32,58.27,0.0
355,159.87,26.57,30.41,144.45,0.0
356,131.49,0.0,235.48,40.48,0.0
357,144.23,180.62,73.22,64.73,0.0
358,187.15,0.0,220.56,97.32,0.0
359,69.87,91.3,71.57,112.71,0.0
360,139.49,199.84,310.8,115.53,0.0
361,75.38,241.96,286.94,65.2,0.0
362,87.81,96.13,73.77,66.93,82.5
363,108.55,0.0,24.17,125.44,0.0
364,213.55,199.07,586.15,125.95,265.48
365,68.64,2.05,90.95,85.12,0.0
366,116.71,16.23,77.22,145.87,66.18
367,38.57,19.5,42.23,42.06,0.0
368,74.11,0.0,15.39,87.89,0.0
369,123.65,0.0,20.81,90.06,0.0
370,98.01,0.0,398.89,86.88,0.0
371,105.01,205.71,261.44,87.75,243.61
372,56.87,39.15,106.92,105.18,0.0
373,105.97,0.0,16.57,33.24,0.0
374,77.42,53.61,83.84,138.12,52.49
375,107.36,0.0,32.01,45.26,0.0
376,71.51,11.73,37.02,119.8,0.0
377,56.07,0.0,79.97,131.92,0.0
378,147.22,0.0,28.42,92.59,0.0
379,51.96,3.0,159.03,41.4,0.0
380,190.38,73.8,29.09,32.58,0.0
381,185.8,0.0,191.33,93.71,0.0
382,62.39,83.39,135.0,32.81,63.29
383,159.0,178.42,180.43,126.42,0.0
384,28.91,8.01,195.27,73.63,0.0
385,63.9,44.59,161.04,32.06,0.0
386,99.34,0.0,167.63,80.24,0.0
387,164.57,24.88,26.97,105.68,0.0
388,270.54,7.95,227.66,142.21,281.95
389,132.34,84.82,48.75,36.04,0.0
390,133.57,42.53,39.35,46.24,0.0
391,59.32,43.54,7.26,102.45,0.0
392,78.05,42.82,17.9,74.81,0.0
393,84.27,0.0,374.66,72.83,169.84
394,129.82,22.16,29.86,56.59,0.0
395,58.21,73.25,67.89,95.06,58.0
396,50.6,0.0,67.16,108.71,0.0
397,38.64,94.51,69.16,62.74,0.0
398,74.62,0.0,159.48,133.07,41.52
399,80.87,0.0,131.09,100.83,98.94
400,102.96,0.0,33.98,119.15,0.0
401,70.63,28.82,22.5,40.64,0.0
402,71.61,98.48,123.83,31.09,0.0
403,41.4,0.0,61.9,82.57,0.0
404,45.27,48.28,16.96,55.58,0.0
405,184.05,0.0,151.22,106.93,66.81
406,44.74,18.3,20.46,120.39,0.0
407,125.91,31.58,84.0,79.24,0.0
408,271.53,286.28,271.99,112.44,0.0
409,22.3,0.0,7.0,82.31,0.0
410,174.18,105.59,112.05,134.85,0.0
411,90.2,113.04,137.32,81.77,0.0
412,23.98,40.15,9.67,57.9,0.0
413,64.81,37.31,181.46,83.02,0.0
414,203.24,0.0,241.89,72.99,96.37
415,148.46,0.0,58.46,139.03,0.0
416,125.61,7.06,4.78,45.36,0.0
417,144.16,0.0,166.4,45.15,0.0
418,182.0,52.89,49.48,100.45,0.0
419,126.15,0.0,58.24,116.68,0.0
420,117.06,55.32,211.43,133.1,168.64
421,133.39,0.0,166.81,69.51,0.0
422,45.82,11.86,407.91,92.84,55.55
423,125.68,30.92,40.39,59.85,0.0
424,74.63,20.02,156.41,70.82,0.0
425,127.98,70.56,23.24,131.13,0.0
426,108.75,56.83,64.04,45.2,0.0
427,136.51,6.23,13.53,32.63,0.0
428,22.84,45.03,15.44,67.03,0.0
429,102.72,0.0,393.4,83.71,257.9
430,139.74,0.0,189.14,90.45,90.74
431,139.98,0.0,1.98,125.75,0.0
432,99.35,79.0,174.69,135.14,0.0
433,101.68,0.0,126.77,119.31,0.0
434,193.02,0.0,26.71,43.99,0.0
435,131.16,26.86,33.19,32.16,0.0
436,58.55,254.05,763.83,139.97,165.84
437,63.33,0.0,45.09,130.09,0.0
438,63.28,87.66,150.92,30.97,0.0
439,135.76,27.7,31.02,49.97,0.0
440,147.76,7.56,8.99,136.48,0.0
441,72.04,69.12,57.55,145.4,96.43
442,79.55,0.0,172.88,35.29,0.0
443,64.76,0.0,14.86,125.29,0.0
444,206.06,0.0,594.36,33.5,69.21
445,42.87,16.54,42.21,127.26,0.0
446,63.78,62.55,182.57,31.7,0.0
447,46.26,28.8,32.64,121.64,0.0
448,126.17,33.56,6.7,41.02,0.0
449,90.83,0.0,299.21,124.7,86.78
450,140.66,0.0,20.44,130.53,0.0
451,53.73,0.0,58.46,119.39,27.55
452,75.97,29.28,198.21,107.55,0.0
453,40.25,50.81,15.47,127.44,0.0
454,60.37,0.0,129.04,66.62,0.0
455,159.04,0.0,172.52,59.24,0.0
456,164.74,0.0,276.28,48.99,167.01
457,177.88,93.3,85.99,63.03,0.0
458,39.91,0.0,76.72,66.12,0.0
459,82.1,22.57,46.07,135.4,0.0
460,158.89,40.94,21.19,57.22,0.0
461,67.79,0.0,14.1,118.16,0.0
462,100.3,20.22,126.28,80.71,0.0
463,100.28,103.39,206.46,114.26,218.75
464,64.8,0.0,14.53,129.68,0.0
465,25.38,33.16,163.62,78.81,0.0
466,63.06,66.8,39.4,41.65,0.0
467,193.45,95.8,97.27,141.33,0.0
468,72.0,83.35,58.94,39.13,0.0
469,162.64,131.48,244.48,116.74,0.0
470,22.64,3.2,151.63,143.11,0.0
471,139.96,0.0,186.33,62.85,0.0
472,57.39,70.21,160.83,48.67,0.0
473,102.74,149.86,75.67,64.7,0.0
474,68.79,130.02,124.39,33.35,0.0
475,117.77,49.81,97.46,139.73,0.0
476,39.52,31.65,35.4,61.77,0.0
477,104.71,0.0,195.55,92.88,0.0
478,52.88,66.77,7.18,38.54,0.0
479,38.7,57.77,15.13,122.65,0.0
480,136.1,0.0,135.67,82.64,0.0
481,35.9,0.0,9.73,75.3,0.0
482,145.77,42.36,19.78,77.54,0.0
483,65.62,0.0,40.79,144.76,0.0
484,122.63,38.13,101.58,43.41,0.0
485,62.01,18.73,76.6,141.2,0.0
486,46.29,75.3,100.23,97.43,0.0
487,110.9,77.65,37.41,98.43,0.0
488,190.21,270.76,445.03,65.62,0.0
489,59.24,103.6,142.35,72.76,35.51
490,50.08,201.51,352.88,110.14,0.0
491,67.13,0.0,75.6,71.47,0.0
492,137.54,47.16,41.84,103.41,0.0
493,79.75,0.0,113.14,109.46,0.0
494,137.93,0.0,328.61,33.73,164.76
495,118.05,0.0,183.41,109.57,99.71
496,55.41,0.0,189.74,37.56,0.0
497,95.77,2.68,18.17,119.04,0.0
498,139.57,61.68,397.05,121.95,0.0
499,44.14,7.83,27.45,47.47,0.0
500,69.51,28.93,165.76,102.47,0.0
501,60.19,5.44,20.69,46.82,0.0
502,46.39,164.84,463.58,133.26,71.39
503,145.85,49.44,33.77,88.42,0.0
504,138.07,8.66,75.12,66.17,0.0
505,101.32,0.0,45.32,122.95,0.0
506,198.63,27.11,747.59,148.7,0.0
507,24.05,0.0,48.17,135.9,0.0
508,28.23,0.0,18.95,125.18,0.0
509,33.97,67.5,84.71,72.88,0.0
510,45.66,136.9,239.0,138.32,0.0
511,118.13,180.49,573.28,107.84,289.26
512,142.34,76.26,159.88,66.32,144.91
513,49.97,1.04,25.42,30.28,0.0
514,37.37,42.63,1.2,33.91,0.0
515,109.74,210.18,349.92,58.0,265.11
516,197.34,0.0,117.7,34.25,92.25
517,97.39,20.21,12.63,30.03,0.0
518,56.51,0.0,57.64,60.14,0.0
519,67.08,0.0,139.54,86.25,0.0
520,120.73,0.0,24.11,36.17,0.0
521,55.16,0.0,42.08,54.31,0.0
522,118.0,106.13,188.0,32.7,0.0
523,64.14,0.0,25.83,59.03,0.0
524,71.43,32.79,94.11,83.82,0.0
525,22.07,91.69,77.74,139.8,0.0
526,88.24,0.0,58.48,104.68,0.0
527,82.51,7.64,115.52,134.08,0.0
528,282.38,236.48,273.62,101.98,121.52
529,109.94,183.38,81.92,102.04,61.74
530,74.58,5.2,3.61,66.08,0.0
531,146.8,0.0,160.96,56.13,0.0
532,77.72,0.0,132.21,131.76,84.08
533,75.65,113.43,182.13,125.88,88.07
534,57.27,34.09,168.49,108.47,0.0
535,119.63,0.34,63.66,59.02,60.54
536,47.4,66.15,146.12,135.12,0.0
537,103.44,0.0,375.51,140.69,0.0
538,189.97,10.89,33.13,149.06,0.0
539,107.99,0.0,136.35,119.89,0.0
540,176.1,0.0,45.09,57.66,0.0
541,45.23,5.86,28.79,124.05,0.0
542,127.14,118.57,191.19,78.07,93.14
543,76.07,0.0,160.26,112.73,82.59
544,47.33,0.0,194.52,146.72,0.0
545,98.14,80.99,3.68,58.02,0.0
546,104.13,0.0,42.67,70.81,0.0
547,115.97,0.0,143.98,119.32,0.0
548,63.16,6.49,36.97,39.33,0.0
549,79.95,0.0,56.7,55.6,0.0
550,58.31,55.86,165.9,85.64,0.0
551,103.43,241.59,744.84,92.36,90.03
552,64.57,0.0,10.51,44.02,0.0
553,122.33,0.0,167.91,142.51,0.0
554,91.83,61.25,58.85,105.78,0.0
555,33.69,0.0,152.17,101.43,0.0
556,64.24,12.08,181.69,56.55,0.0
557,104.11,61.5,30.5,110.41,0.0
558,182.83,83.67,393.4,50.65,67.64
559,65.44,54.19,106.13,99.44,0.0
560,94.57,0.0,157.0,148.99,48.73
561,131.67,169.11,333.69,65.56,168.24
562,156.08,78.93,278.02,99.31,42.75
563,158.73,21.63,33.98,30.59,0.0
564,299.71,180.86,385.62,134.2,0.0
565,34.56,110.53,87.75,130.29,0.0
566,147.88,39.05,403.84,148.93,275.83
567,84.32,91.71,505.0,101.39,193.01
568,88.8,0.0,29.18,62.53,0.0
569,48.51,170.05,179.42,137.98,53.43
570,151.39,0.0,137.46,127.47,0.0
571,121.2,41.93,172.3,40.91,0.0
572,114.03,0.0,139.58,126.44,84.12
573,71.6,49.81,38.8,39.31,0.0
574,53.86,93.62,352.58,97.51,297.63
575,37.57,0.0,49.82,59.71,0.0
576,68.98,46.93,34.12,147.24,0.0
577,172.94,0.0,170.96,68.02,0.0
578,61.86,0.0,174.01,60.75,0.0
579,156.73,0.0,620.0,79.81,214.7
580,151.79,0.0,84.55,141.61,0.0
581,180.22,0.0,277.79,86.48,0.0
582,72.03,55.72,176.17,64.65,40.41
583,55.17,52.22,9.51,138.66,0.0
584,57.04,12.23,32.23,137.42,0.0
585,91.91,0.0,48.23,96.83,0.0
586,279.4,50.26,291.93,31.72,213.02
587,70.63,0.0,49.29,50.27,0.0
588,189.89,74.65,180.18,98.2,0.0
589,269.35,46.61,247.47,58.99,58.48
590,194.53,0.0,6.51,97.1,0.0
591,93.7,0.0,38.48,40.3,0.0
592,119.23,0.0,340.19,95.6,98.38
593,174.81,26.76,171.81,96.42,0.0
594,137.4,0.0,318.72,135.97,0.0
595,78.57,8.8,195.77,82.3,0.0
596,68.48,215.19,213.52,103.61,0.0
597,70.31,5.81,131.62,48.55,0.0
598,118.94,0.0,7.71,135.28,0.0
599,120.39,175.83,204.09,64.16,232.36
600,58.67,64.09,72.06,127.62,0.0
601,182.36,125.42,188.34,147.9,0.0
602,97.71,39.35,19.87,98.85,0.0
603,135.07,0.0,111.8,43.03,0.0
604,77.43,102.73,175.72,72.8,0.0
605,160.4,0.0,9.12,98.37,0.0
606,63.8,0.0,382.44,81.54,0.0
607,156.49,24.31,1.82,119.41,0.0
608,107.83,0.0,45.5,145.1,0.0
609,101.09,0.0,120.76,50.15,49.37
610,111.98,31.41,12.78,97.41,0.0
611,88.91,51.39,49.85,67.24,0.0
612,102.17,32.87,104.62,70.07,0.0
613,51.21,177.0,630.03,74.61,0.0
614,88.67,29.08,20.16,96.55,0.0
615,57.79,15.9,175.17,54.17,0.0
616,46.61,50.09,42.14,143.17,0.0
617,53.15,0.0,13.03,117.05,0.0
618,138.86,47.53,101.95,39.41,0.0
619,195.1,289.43,625.01,71.43,62.37
620,30.11,11.71,174.97,105.48,54.89
621,230.13,0.0,693.72,140.94,31.11
622,125.07,183.38,271.0,84.35,292.35
623,42.7,59.44,49.29,66.33,0.0
624,141.7,0.0,184.16,98.83,0.0
625,106.28,4.96,153.05,59.22,0.0
626,55.04,29.29,260.63,63.12,40.76
627,51.36,144.35,304.59,100.38,0.0
628,131.73,56.91,23.35,50.94,0.0
629,59.93,122.44,194.15,56.05,0.0
630,81.24,0.0,328.9,127.28,0.0
631,65.4,13.42,62.03,93.16,50.9
632,67.79,0.0,122.55,50.57,0.0
633,101.52,0.0,33.36,38.68,0.0
634,188.77,119.56,712.24,30.02,71.2
