personID,streaming,musicStreaming,gaming,gym,otherSubscriptions
46,38.12,0.0,0.0,0.0,0.0
47,50.31,11.72,0.0,0.0,0.0
48,10.44,16.94,0.0,0.0,0.0
49,13.43,11.97,23.23,0.0,0.0
50,37.68,0.0,0.0,71.49,0.0
51,12.77,0.0,0.0,0.0,58.77
52,14.08,0.0,0.0,0.0,34.6
53,20.63,0.0,0.0,0.0,0.0
54,11.17,0.0,0.0,0.0,0.0
55,37.33,0.0,0.0,0.0,37.76
56,24.87,0.0,0.0,0.0,0.0
57,42.35,12.33,49.91,68.61,0.0
58,56.83,0.0,19.1,0.0,0.0
59,58.27,0.0,0.0,71.3,0.0
60,46.76,16.7,43.52,87.8,0.0
61,63.22,10.94,0.0,59.43,43.75
62,30.11,0.0,36.16,75.37,54.76
63,36.83,0.0,0.0,66.16,58.42
64,23.81,0.0,0.0,0.0,0.0
65,34.97,16.6,0.0,0.0,2.35
66,41.04,10.62,0.0,0.0,0.0
67,25.14,12.56,0.0,0.0,0.0
68,27.53,0.0,0.0,0.0,15.87
69,34.77,0.0,0.0,0.0,15.48
70,24.75,0.0,0.0,0.0,24.95
71,11.79,15.6,0.0,0.0,0.0
72,30.83,11.53,0.0,0.0,0.0
73,44.22,0.0,0.0,0.0,0.0
74,21.8,14.83,0.0,0.0,0.0
75,38.29,0.0,0.0,0.0,0.0
76,10.99,0.0,0.0,0.0,0.0
77,14.79,0.0,0.0,0.0,0.0
78,43.94,0.0,22.59,0.0,0.0
79,62.75,0.0,0.0,0.0,0.0
80,28.11,0.0,43.69,0.0,0.0
81,31.1,0.0,0.0,0.0,57.3
82,26.62,0.0,35.58,0.0,48.3
83,38.65,14.79,0.0,31.99,0.0
84,53.52,11.16,0.0,0.0,0.0
85,30.13,12.9,58.91,51.88,0.0
86,33.11,15.31,0.0,0.0,49.17
87,11.16,0.0,0.0,0.0,28.73
88,37.62,10.69,0.0,0.0,0.0
89,20.01,10.12,0.0,0.0,0.0
90,40.0,15.28,0.0,0.0,0.0
91,54.55,0.0,0.0,0.0,0.0
92,13.1,10.23,0.0,75.14,34.48
93,11.12,13.55,0.0,56.98,0.0
94,14.9,0.0,0.0,0.0,0.0
95,20.09,11.08,0.0,0.0,0.0
96,21.92,14.31,0.0,0.0,0.0
97,40.18,14.38,0.0,0.0,0.0
98,42.16,11.25,0.0,0.0,7.67
99,42.24,16.13,30.12,0.0,0.0
100,43.94,0.0,0.0,0.0,0.0
101,65.95,15.28,46.53,0.0,0.0
102,38.48,0.0,39.67,0.0,0.0
103,32.68,0.0,0.0,48.44,0.0
104,13.26,16.78,0.0,0.0,15.84
105,22.26,0.0,0.0,0.0,0.0
106,29.59,0.0,0.0,0.0,0.0
107,43.81,15.16,0.0,0.0,0.0
108,32.54,0.0,0.0,0.0,30.52
109,51.34,0.0,0.0,65.42,0.0
110,26.64,14.12,33.14,0.0,0.0
111,56.04,0.0,23.05,66.25,0.0
112,67.68,11.5,33.72,34.61,3.08
113,11.64,12.48,0.0,0.0,0.0
114,28.64,12.26,0.0,0.0,10.96
115,29.59,11.07,22.55,0.0,0.0
116,39.04,0.0,0.0,0.0,0.0
117,51.79,0.0,0.0,0.0,0.0
118,49.98,14.24,57.28,0.0,0.0
119,22.59,0.0,0.0,0.0,0.0
120,45.56,11.14,0.0,90.03,0.0
121,47.71,0.0,0.0,0.0,0.0
122,24.92,0.0,0.0,0.0,0.0
123,38.63,16.14,38.67,55.94,0.0
124,43.44,11.3,49.63,0.0,0.0
125,53.22,0.0,43.33,0.0,40.34
126,58.8,0.0,0.0,0.0,0.0
127,39.26,10.49,0.0,0.0,0.0
128,25.97,0.0,0.0,0.0,0.0
129,26.21,0.0,0.0,0.0,43.09
130,26.94,0.0,0.0,77.55,0.0
131,39.29,14.74,0.0,0.0,0.0
132,42.07,15.47,0.0,0.0,0.0
133,59.4,14.26,32.76,0.0,0.0
134,53.61,0.0,52.87,0.0,0.0
135,22.39,0.0,0.0,0.0,49.17
136,27.9,0.0,41.19,51.05,10.39
137,39.83,13.86,0.0,32.36,42.45
138,10.39,0.0,0.0,0.0,0.0
139,58.04,0.0,0.0,42.54,10.64
140,13.16,0.0,0.0,0.0,0.0
141,22.57,0.0,0.0,69.27,37.82
142,36.79,14.78,0.0,0.0,34.97
143,21.75,15.98,27.37,83.61,0.0
144,42.55,0.0,47.72,0.0,22.54
145,56.95,0.0,27.72,0.0,0.0
146,29.44,11.5,53.45,0.0,55.78
147,41.08,16.36,0.0,0.0,0.0
148,14.74,0.0,0.0,0.0,0.51
149,22.69,10.55,0.0,0.0,0.0
150,32.37,10.95,37.39,0.0,0.0
151,29.27,10.95,0.0,0.0,3.81
152,53.86,0.0,0.0,0.0,45.46
153,67.77,10.43,18.86,0.0,0.0
154,54.43,0.0,0.0,53.71,0.0
155,12.08,16.78,0.0,0.0,0.0
156,61.39,0.0,0.0,0.0,0.0
157,38.07,11.9,0.0,70.42,8.14
158,57.39,0.0,0.0,0.0,0.0
159,65.25,0.0,0.0,0.0,0.0
160,20.64,0.0,0.0,0.0,0.0
161,35.4,0.0,0.0,0.0,0.0
162,21.23,0.0,0.0,74.68,0.0
163,22.64,0.0,23.14,0.0,0.0
164,44.13,10.78,0.0,0.0,0.0
165,25.14,0.0,19.59,0.0,26.83
166,42.22,0.0,0.0,0.0,0.0
167,52.7,14.53,0.0,0.0,0.0
168,21.58,16.6,58.71,0.0,0.0
169,41.27,11.3,0.0,0.0,0.0
170,28.11,10.63,23.1,0.0,5.46
171,24.69,0.0,25.95,0.0,0.0
172,36.98,0.0,39.45,0.0,0.0
173,23.5,13.72,0.0,34.1,0.0
174,48.15,15.44,0.0,0.0,0.0
175,10.97,0.0,0.0,0.0,0.0
176,59.87,0.0,0.0,0.0,0.0
177,31.28,0.0,0.0,0.0,41.61
178,39.15,15.91,19.5,0.0,58.45
179,21.62,11.05,0.0,0.0,0.0
180,40.37,11.33,34.77,0.0,35.39
181,45.28,14.97,27.36,0.0,0.0
182,59.46,0.0,24.23,0.0,0.0
183,14.95,14.52,0.0,0.0,0.0
184,38.46,16.15,0.0,0.0,13.6
185,36.8,13.42,49.88,0.0,5.58
186,22.71,15.3,30.66,40.09,7.22
187,29.39,0.0,0.0,0.0,0.0
188,12.47,0.0,0.0,0.0,0.0
189,55.37,16.51,0.0,58.13,0.0
190,69.54,0.0,0.0,71.52,0.0
191,22.08,0.0,24.99,52.35,0.0
192,59.0,11.95,0.0,0.0,0.0
193,24.5,16.64,0.0,0.0,0.0
194,43.5,15.47,0.0,0.0,0.0
195,39.61,14.0,44.84,0.0,0.0
196,38.27,0.0,0.0,0.0,0.0
197,10.09,13.02,0.0,0.0,56.19
198,26.97,12.94,0.0,0.0,40.65
199,11.0,0.0,0.0,0.0,5.38
200,39.22,0.0,0.0,0.0,13.93
201,34.06,0.0,0.0,0.0,0.0
202,43.8,11.45,0.0,0.0,35.14
203,37.58,15.65,0.0,0.0,0.0
204,34.39,15.61,0.0,0.0,0.0
205,13.09,12.44,0.0,0.0,0.0
206,36.04,0.0,47.65,0.0,0.0
207,41.82,0.0,16.05,0.0,0.0
208,25.83,0.0,0.0,0.0,0.0
209,25.44,14.96,0.0,0.0,0.0
210,50.01,0.0,53.6,0.0,0.0
211,21.54,11.93,0.0,82.42,0.0
212,10.36,0.0,0.0,0.0,46.35
213,24.49,0.0,0.0,0.0,57.07
214,47.55,0.0,51.04,0.0,44.56
215,46.73,0.0,0.0,48.9,0.0
216,53.44,16.59,0.0,57.24,0.0
217,53.07,15.68,0.0,56.64,0.0
218,13.44,0.0,0.0,0.0,56.28
219,11.68,13.35,0.0,0.0,0.0
220,24.12,0.0,0.0,0.0,0.0
221,28.59,12.13,0.0,73.21,0.0
222,53.2,15.86,0.0,0.0,2.43
223,21.86,0.0,44.31,0.0,0.0
224,23.67,15.37,0.0,38.45,0.0
225,44.7,0.0,0.0,0.0,0.0
226,44.25,0.0,23.92,0.0,0.0
227,29.4,16.42,0.0,0.0,0.0
228,26.74,12.8,0.0,96.26,9.35
229,10.15,0.0,0.0,0.0,27.58
230,20.19,14.82,0.0,0.0,0.0
231,11.0,10.9,0.0,0.0,0.0
232,41.18,0.0,33.67,0.0,2.38
233,47.67,16.59,0.0,0.0,4.16
234,30.5,0.0,0.0,0.0,0.0
235,22.45,0.0,0.0,73.53,45.03
236,40.41,0.0,0.0,0.0,29.75
237,49.27,13.12,31.79,0.0,39.09
238,42.56,0.0,0.0,0.0,35.32
239,23.44,12.82,0.0,41.92,0.0
240,26.59,15.84,41.18,0.0,0.0
241,12.62,12.45,0.0,0.0,0.0
242,22.01,0.0,0.0,0.0,48.63
243,24.58,10.69,0.0,0.0,0.0
244,25.03,0.0,0.0,92.84,55.05
245,44.9,16.91,36.33,0.0,0.0
246,20.97,0.0,0.0,0.0,13.45
247,35.93,15.34,25.62,59.24,13.52
248,26.6,10.86,0.0,0.0,44.76
249,26.39,0.0,0.0,0.0,0.0
250,20.37,16.57,0.0,0.0,55.92
251,28.52,0.0,21.73,31.62,41.14
252,44.15,15.39,0.0,0.0,0.0
253,28.43,16.44,0.0,0.0,0.0
254,28.58,0.0,0.0,0.0,0.0
255,73.86,0.0,0.0,0.0,0.0
256,27.19,15.8,0.0,0.0,0.0
257,11.45,12.37,0.0,0.0,0.0
258,27.09,15.86,0.0,59.42,0.0
259,20.66,0.0,0.0,75.62,0.0
260,34.5,16.06,0.0,0.0,0.0
261,37.72,0.0,18.66,0.0,0.0
262,10.27,0.0,0.0,0.0,0.0
263,32.55,16.52,0.0,0.0,54.61
264,20.37,0.0,24.95,0.0,0.0
265,14.57,16.71,0.0,0.0,0.0
266,54.2,13.1,0.0,0.0,57.67
267,31.18,0.0,0.0,0.0,0.0
268,11.4,10.45,0.0,0.0,0.0
269,42.72,0.0,0.0,89.68,37.31
270,69.47,0.0,27.21,0.0,0.0
271,14.49,0.0,0.0,0.0,0.0
272,31.33,15.09,0.0,0.0,0.0
273,28.04,0.0,0.0,0.0,33.74
274,41.23,0.0,0.0,0.0,0.0
275,29.96,0.0,32.06,0.0,11.42
276,10.53,0.0,0.0,76.15,0.0
277,27.09,12.61,0.0,0.0,0.0
278,12.14,0.0,22.59,0.0,0.0
279,25.6,0.0,0.0,58.81,6.64
280,26.54,0.0,0.0,0.0,58.76
281,13.8,13.45,0.0,49.58,56.09
282,41.27,15.13,16.36,0.0,0.0
283,35.7,0.0,0.0,0.0,29.24
284,43.28,0.0,0.0,89.48,0.0
285,24.76,13.93,38.71,0.0,36.59
286,37.8,12.27,40.57,57.85,0.0
287,42.7,0.0,0.0,0.0,31.71
288,35.17,15.94,0.0,0.0,0.0
289,21.72,13.81,0.0,94.56,0.0
290,22.58,12.79,0.0,42.86,20.89
291,57.58,0.0,23.89,86.22,0.0
292,56.24,16.98,40.56,0.0,0.0
293,10.43,0.0,0.0,0.0,0.0
294,49.4,11.61,0.0,0.0,0.0
295,71.24,0.0,46.32,0.0,0.0
296,23.21,10.04,0.0,36.91,0.0
297,48.7,0.0,0.0,0.0,0.0
298,38.02,11.23,15.25,0.0,0.0
299,35.44,0.0,0.0,0.0,0.0
300,36.74,16.59,0.0,0.0,21.94
301,48.34,11.72,48.52,0.0,0.0
302,38.31,0.0,30.82,75.42,0.0
303,39.58,10.67,0.0,69.91,0.0
304,26.07,0.0,0.0,90.26,25.42
305,11.58,0.0,0.0,0.0,52.64
306,35.46,11.77,0.0,0.0,15.64
307,29.0,11.32,0.0,0.0,0.0
308,39.72,14.69,16.79,0.0,43.26
309,59.96,0.0,0.0,0.0,0.0
310,39.15,10.8,0.0,0.0,0.0
311,41.25,16.69,0.0,0.0,18.57
312,47.61,11.1,31.39,0.0,0.36
313,26.26,0.0,0.0,0.0,0.0
314,13.19,10.75,0.0,55.89,0.0
315,38.65,0.0,0.0,0.0,0.0
316,25.04,12.43,33.02,0.0,0.0
317,31.66,16.66,0.0,0.0,0.0
318,37.31,0.0,31.74,0.0,0.0
319,30.34,0.0,19.78,0.0,0.0
320,21.23,14.71,34.1,33.07,8.02
321,20.35,0.0,0.0,0.0,0.0
322,20.62,13.56,0.0,0.0,2.15
323,59.87,0.0,0.0,0.0,13.99
324,41.73,14.11,0.0,0.0,15.37
325,42.68,12.59,0.0,0.0,0.0
326,24.53,0.0,0.0,0.0,0.0
327,20.87,10.97,0.0,0.0,0.0
328,41.21,10.86,0.0,0.0,0.0
329,25.07,0.0,0.0,0.0,0.0
330,27.05,0.0,57.22,57.86,0.0
331,28.5,0.0,0.0,0.0,0.0
332,53.57,13.71,0.0,54.37,0.0
333,51.83,10.45,0.0,0.0,0.0
334,23.39,10.74,44.93,62.63,0.0
335,44.22,10.45,39.8,0.0,0.0
336,25.31,0.0,41.08,0.0,0.0
337,22.32,16.69,0.0,0.0,0.0
338,40.54,0.0,0.0,0.0,0.0
339,59.38,0.0,0.0,82.86,0.0
340,54.6,13.02,15.14,88.2,0.0
341,41.44,0.0,0.0,0.0,25.69
342,38.49,0.0,0.0,57.24,0.0
343,27.35,13.51,31.54,30.03,0.0
344,43.01,11.49,0.0,0.0,19.86
345,28.63,0.0,0.0,0.0,0.0
346,32.29,0.0,0.0,0.0,54.38
347,12.34,0.0,0.0,0.0,0.0
348,62.62,12.42,41.04,0.0,37.0
349,28.48,14.46,17.22,0.0,0.0
350,26.95,0.0,0.0,94.07,0.0
351,13.83,12.64,23.65,0.0,3.65
352,56.46,15.0,0.0,0.0,31.39
353,12.94,11.77,0.0,0.0,29.02
354,56.32,0.0,0.0,33.96,0.0
355,73.3,0.0,36.66,0.0,48.92
356,13.8,0.0,0.0,65.83,0.0
357,60.19,0.0,0.0,97.97,13.93
358,58.08,12.29,33.12,0.0,0.0
359,29.08,15.22,0.0,0.0,0.0
360,39.4,12.92,0.0,60.44,35.15
361,38.38,0.0,0.0,54.49,53.91
362,37.82,16.6,0.0,98.93,0.0
363,43.42,0.0,0.0,0.0,0.0
364,54.33,0.0,0.0,41.97,0.0
365,14.48,0.0,0.0,0.0,0.0
366,54.82,15.34,0.0,78.87,0.0
367,13.01,0.0,0.0,0.0,20.26
368,10.87,13.11,0.0,0.0,0.0
369,53.99,0.0,0.0,0.0,22.97
370,37.66,0.0,34.38,30.77,0.0
371,56.11,10.35,0.0,50.92,29.82
372,28.72,0.0,37.85,0.0,38.4
373,37.84,10.52,0.0,0.0,0.0
374,27.89,16.62,0.0,31.96,0.0
375,54.92,0.0,0.0,0.0,0.0
376,69.47,0.0,0.0,0.0,51.55
377,32.04,0.0,0.0,0.0,0.0
378,38.91,12.2,0.0,0.0,0.0
379,26.54,0.0,0.0,0.0,0.0
380,34.77,0.0,24.9,0.0,0.0
381,22.32,0.0,37.62,0.0,0.0
382,26.34,0.0,0.0,0.0,0.0
383,23.4,14.07,0.0,81.96,58.65
384,20.63,15.86,0.0,0.0,30.87
385,23.86,15.03,0.0,0.0,0.0
386,28.07,0.0,0.0,0.0,0.0
387,49.45,0.0,0.0,0.0,0.0
388,40.54,15.06,20.13,0.0,0.0
389,21.32,15.45,0.0,0.0,0.0
390,26.02,0.0,0.0,0.0,0.0
391,21.28,0.0,0.0,0.0,0.0
392,59.19,12.14,0.0,0.0,0.0
393,70.45,11.62,0.0,85.16,0.0
394,14.59,0.0,0.0,0.0,30.19
395,32.06,13.29,16.22,0.0,0.0
396,21.41,0.0,0.0,0.0,0.0
397,11.62,0.0,0.0,0.0,36.92
398,43.85,0.0,0.0,66.68,0.0
399,29.91,0.0,0.0,0.0,0.0
400,12.66,0.0,0.0,0.0,0.0
401,46.19,12.47,51.53,0.0,0.0
402,13.07,0.0,0.0,0.0,0.0
403,23.36,14.69,0.0,0.0,0.0
404,28.51,0.0,0.0,0.0,0.0
405,67.5,0.0,15.38,0.0,0.0
406,20.92,11.4,0.0,0.0,0.0
407,24.61,11.86,0.0,0.0,16.65
408,69.28,0.0,0.0,79.92,48.39
409,22.59,0.0,0.0,0.0,0.0
410,28.95,0.0,26.97,66.6,0.0
411,22.33,0.0,37.77,0.0,0.0
412,27.79,14.77,0.0,0.0,13.01
413,21.45,12.31,0.0,0.0,0.98
414,14.18,0.0,0.0,0.0,34.76
415,25.55,14.39,0.0,0.0,0.0
416,45.61,0.0,0.0,0.0,0.0
417,23.55,0.0,0.0,0.0,28.86
418,36.6,11.25,0.0,0.0,35.78
419,24.0,13.68,0.0,57.52,0.0
420,38.36,14.46,0.0,0.0,0.0
421,25.07,0.0,0.0,0.0,43.05
422,34.39,0.0,0.0,0.0,55.73
423,25.51,0.0,26.75,0.0,0.0
424,38.84,15.71,0.0,0.0,32.4
425,22.19,0.0,47.0,0.0,0.0
426,14.19,0.0,38.58,0.0,0.0
427,43.4,15.81,0.0,0.0,40.69
428,41.17,16.65,0.0,0.0,2.7
429,36.56,15.03,0.0,31.35,0.0
430,41.42,0.0,50.93,0.0,8.98
431,69.64,0.0,30.96,0.0,14.49
432,10.94,14.34,0.0,0.0,8.32
433,33.35,10.41,0.0,0.0,0.0
434,39.78,14.86,42.48,0.0,0.0
435,26.75,0.0,0.0,0.0,7.43
436,21.72,14.22,0.0,60.64,0.0
437,21.56,0.0,45.1,0.0,0.0
438,29.38,0.0,0.0,0.0,47.41
439,36.76,0.0,33.04,0.0,0.0
440,56.0,10.46,24.57,0.0,0.0
441,43.24,10.67,38.66,0.0,45.21
442,12.41,0.0,0.0,0.0,0.0
443,22.9,13.27,29.49,0.0,27.7
444,49.26,0.0,0.0,0.0,52.3
445,20.51,0.0,0.0,0.0,0.0
446,13.83,0.0,0.0,0.0,0.0
447,20.01,0.0,0.0,0.0,18.94
448,32.0,0.0,0.0,0.0,0.0
449,29.29,16.29,0.0,0.0,34.49
450,63.18,16.74,20.31,0.0,15.26
451,24.07,0.0,0.0,0.0,13.74
452,50.45,15.12,0.0,0.0,0.0
453,55.55,10.71,0.0,0.0,14.9
454,14.94,13.95,0.0,0.0,0.0
455,39.22,0.0,32.43,87.22,0.0
456,32.0,14.85,0.0,0.0,0.0
457,42.89,12.42,30.56,0.0,0.0
458,42.47,14.44,0.0,0.0,0.0
459,53.49,11.05,39.46,0.0,6.39
460,37.89,0.0,0.0,0.0,0.0
461,20.6,0.0,16.22,0.0,0.0
462,41.79,0.0,21.33,97.82,14.98
463,14.76,13.06,0.0,0.0,0.0
464,12.1,0.0,0.0,0.0,0.0
465,10.49,0.0,0.0,0.0,0.0
466,60.97,14.69,0.0,0.0,0.0
467,34.92,0.0,42.45,0.0,0.0
468,14.84,0.0,0.0,0.0,0.0
469,37.95,15.78,0.0,32.43,0.0
470,24.08,0.0,0.0,0.0,11.76
471,34.39,15.21,52.13,39.98,0.56
472,12.88,10.56,0.0,0.0,0.0
473,44.85,11.23,35.17,0.0,0.0
474,27.51,16.99,0.0,0.0,0.0
475,58.15,12.67,0.0,46.08,0.0
476,29.47,0.0,0.0,0.0,0.0
477,51.11,0.0,0.0,38.67,0.0
478,39.77,11.49,35.13,0.0,0.0
479,29.39,11.12,0.0,0.0,0.0
480,22.36,0.0,0.0,0.0,0.0
481,23.04,14.63,0.0,0.0,5.5
482,22.48,11.82,0.0,0.0,0.0
483,54.68,15.47,0.0,0.0,0.0
484,13.99,0.0,39.97,0.0,0.0
485,21.32,14.68,0.0,0.0,0.0
486,26.14,11.48,0.0,0.0,55.31
487,52.01,0.0,29.86,0.0,0.0
488,50.51,13.72,0.0,85.61,0.0
489,41.0,0.0,0.0,0.0,52.34
490,44.99,11.67,0.0,0.0,44.46
491,29.97,0.0,0.0,0.0,0.0
492,22.73,0.0,26.83,0.0,35.27
493,50.74,0.0,0.0,0.0,0.0
494,41.1,0.0,38.31,49.39,0.0
495,53.83,13.41,0.0,0.0,0.0
496,27.45,10.41,0.0,0.0,28.8
497,10.47,13.02,0.0,0.0,0.0
498,58.9,0.0,0.0,80.8,0.0
499,21.61,15.06,0.0,0.0,10.2
500,25.9,0.0,0.0,0.0,0.0
501,42.79,0.0,0.0,0.0,0.0
502,33.92,16.82,27.31,33.57,0.0
503,69.71,15.7,0.0,0.0,36.65
504,20.45,12.95,0.0,0.0,0.0
505,36.93,15.7,0.0,0.0,0.0
506,54.81,14.71,0.0,58.52,2.52
507,21.71,0.0,0.0,0.0,0.0
508,24.7,13.37,0.0,0.0,0.0
509,24.06,14.2,0.0,0.0,36.51
510,45.5,14.28,0.0,0.0,0.0
511,41.77,10.76,0.0,0.0,0.0
512,38.83,15.74,36.54,30.92,26.26
513,25.48,11.23,0.0,0.0,14.65
514,32.55,0.0,0.0,0.0,0.0
515,59.81,12.32,48.26,0.0,21.79
516,48.83,0.0,0.0,94.04,0.0
517,54.5,15.75,0.0,0.0,0.0
518,21.12,0.0,0.0,42.74,0.0
519,14.02,0.0,0.0,0.0,0.0
520,55.17,0.0,0.0,0.0,0.0
521,48.77,16.82,0.0,0.0,37.29
522,31.67,16.64,0.0,37.28,9.94
523,12.11,0.0,0.0,0.0,0.0
524,10.57,14.51,0.0,0.0,0.0
525,23.72,14.76,0.0,0.0,0.0
526,40.56,16.59,0.0,76.23,7.82
527,44.17,0.0,0.0,0.0,0.0
528,57.09,0.0,0.0,0.0,0.0
529,45.08,0.0,0.0,0.0,0.0
530,22.38,0.0,0.0,0.0,0.0
531,28.65,11.19,0.0,0.0,56.89
532,23.35,14.12,0.0,0.0,37.29
533,30.77,0.0,0.0,0.0,0.0
534,39.4,13.14,0.0,88.98,0.0
535,24.13,13.3,0.0,0.0,0.0
536,13.21,11.11,0.0,0.0,24.64
537,14.97,16.65,0.0,77.16,0.0
538,24.66,15.85,0.0,0.0,18.6
539,35.32,0.0,0.0,0.0,0.0
540,58.93,10.96,51.34,0.0,18.28
541,11.83,0.0,0.0,0.0,0.0
542,25.08,13.04,0.0,97.66,13.67
543,67.41,15.94,0.0,0.0,48.11
544,46.02,15.32,0.0,0.0,0.0
545,11.81,12.39,0.0,0.0,0.0
546,45.52,0.0,23.13,0.0,0.0
547,31.39,0.0,29.91,76.59,40.59
548,13.66,0.0,0.0,0.0,0.0
549,20.67,0.0,0.0,0.0,0.0
550,51.35,14.66,0.0,0.0,0.0
551,10.24,0.0,0.0,75.28,0.0
552,22.53,0.0,0.0,0.0,0.0
553,24.95,0.0,22.94,46.14,34.4
554,23.6,0.0,0.0,0.0,14.11
555,36.0,16.01,0.0,0.0,0.0
556,39.42,0.0,0.0,0.0,56.3
557,47.43,0.0,56.56,0.0,0.0
558,37.53,12.89,41.64,0.0,0.0
559,48.35,0.0,0.0,0.0,0.0
560,25.76,13.43,0.0,0.0,11.91
561,30.01,16.23,0.0,46.88,0.0
562,43.04,16.32,0.0,0.0,0.0
563,58.95,0.0,0.0,0.0,0.0
564,31.02,10.6,19.02,93.54,0.0
565,56.19,0.0,20.49,0.0,0.0
566,26.21,13.08,0.0,44.67,53.65
567,29.91,13.0,29.61,55.25,10.29
568,42.52,0.0,0.0,0.0,0.0
569,30.01,14.81,0.0,0.0,29.46
570,43.35,0.0,0.0,0.0,20.39
571,41.09,0.0,0.0,0.0,0.0
572,29.76,0.0,0.0,54.29,48.3
573,28.7,14.71,17.45,0.0,24.53
574,38.22,0.0,0.0,0.0,5.85
575,41.76,0.0,0.0,0.0,0.0
576,11.1,0.0,0.0,0.0,0.0
577,35.2,0.0,18.05,0.0,0.0
578,29.11,0.0,0.0,0.0,0.0
579,38.3,0.0,0.0,75.68,0.0
580,66.93,0.0,0.0,0.0,2.6
581,31.11,0.0,0.0,0.0,0.0
582,11.61,0.0,0.0,0.0,0.0
583,43.42,15.91,0.0,0.0,7.9
584,35.99,16.03,17.01,0.0,0.0
585,14.44,11.33,0.0,0.0,47.8
586,53.47,0.0,16.06,65.04,0.0
587,42.57,16.65,49.4,0.0,0.0
588,50.62,0.0,0.0,31.97,13.06
589,40.07,16.78,59.41,0.0,0.0
590,55.76,0.0,31.58,0.0,0.0
591,68.96,11.68,37.14,0.0,0.0
592,10.8,0.0,30.34,39.71,0.0
593,50.61,11.05,0.0,0.0,35.65
594,36.47,0.0,49.25,89.88,0.0
595,27.3,0.0,0.0,0.0,0.0
596,59.13,16.91,0.0,0.0,0.0
597,47.83,0.0,0.0,0.0,0.0
598,62.13,0.0,57.92,0.0,0.0
599,55.76,0.0,36.58,30.58,56.54
600,38.56,12.25,35.25,0.0,0.0
601,63.17,0.0,0.0,72.73,6.43
602,39.4,0.0,27.14,0.0,0.0
603,59.7,16.49,0.0,38.92,14.27
604,21.8,12.01,30.94,0.0,55.47
605,56.53,0.0,54.79,0.0,0.0
606,47.67,16.48,0.0,88.71,0.0
607,23.31,11.26,27.77,0.0,0.0
608,33.48,12.9,0.0,0.0,0.0
609,59.82,0.0,0.0,0.0,0.0
610,29.59,0.0,0.0,0.0,42.79
611,73.72,12.99,0.0,0.0,0.0
612,37.33,12.85,0.0,0.0,0.0
613,20.28,15.31,0.0,54.96,0.0
614,41.09,12.48,25.66,0.0,0.0
615,10.07,0.0,0.0,0.0,0.0
616,23.92,12.89,0.0,0.0,0.0
617,34.08,10.96,0.0,0.0,0.0
618,56.35,0.0,0.0,69.72,13.65
619,25.88,0.0,0.0,0.0,0.0
620,10.72,0.0,0.0,0.0,49.84
621,41.65,11.62,27.98,73.3,0.0
622,60.42,15.55,0.0,0.0,49.49
623,57.36,14.82,0.0,0.0,0.0
624,34.77,11.39,0.0,55.88,10.56
625,12.01,0.0,0.0,85.54,0.0
626,33.23,10.78,0.0,0.0,0.0
627,39.81,12.89,0.0,0.0,0.0
628,41.86,0.0,0.0,0.0,0.0
629,35.45,16.43,0.0,0.0,0.0
630,36.32,0.0,20.45,61.12,0.0
631,25.49,0.0,0.0,0.0,9.54
632,12.37,15.75,0.0,0.0,54.49
633,34.19,15.11,37.97,0.0,54.44
