personID,clothing,personalCare,householdSupplies,childcare,petExpenses
75,62.13,66.24,160.55,0.0,0.0
76,33.34,172.08,147.29,784.26,0.0
77,74.05,47.84,125.0,0.0,0.0
78,100.4,32.08,66.07,0.0,0.0
79,66.98,59.43,81.66,0.0,0.0
80,72.28,134.15,187.9,0.0,0.0
81,173.11,117.63,116.38,0.0,0.0
82,118.24,74.91,96.22,0.0,0.0
83,132.29,52.93,143.87,0.0,115.07
84,66.38,136.56,171.25,0.0,0.0
85,191.26,100.74,146.55,0.0,0.0
86,42.79,133.18,77.73,0.0,0.0
87,388.59,360.79,82.19,1115.03,0.0
88,79.17,78.56,158.45,0.0,0.0
89,72.2,91.09,90.02,0.0,99.6
90,97.5,172.64,161.85,0.0,127.4
91,66.53,33.19,89.26,0.0,94.92
92,141.55,201.18,199.12,0.0,0.0
93,339.55,80.25,72.88,0.0,0.0
94,94.18,48.35,98.86,0.0,119.85
95,73.28,123.9,110.79,0.0,0.0
96,37.85,137.58,170.7,835.49,0.0
97,312.66,65.84,99.54,0.0,147.37
98,30.94,43.34,118.67,0.0,0.0
99,72.16,103.08,104.97,0.0,0.0
100,242.07,262.07,184.26,0.0,101.35
101,50.34,58.87,96.76,0.0,97.7
102,44.29,231.24,88.61,0.0,0.0
103,170.91,55.19,118.25,0.0,91.14
104,89.8,235.98,148.78,0.0,112.86
105,102.27,50.25,123.25,0.0,149.42
106,51.74,282.07,202.48,786.61,95.15
107,104.39,43.82,134.94,0.0,76.52
108,54.52,72.8,143.69,0.0,0.0
109,197.99,300.97,98.84,0.0,0.0
110,77.42,32.77,140.41,0.0,86.14
111,120.88,71.6,98.31,0.0,0.0
112,117.56,173.31,181.0,1716.98,0.0
113,44.28,223.65,170.76,0.0,0.0
114,177.55,128.87,79.61,0.0,0.0
115,76.16,285.46,162.69,0.0,0.0
116,183.83,146.36,97.36,0.0,0.0
117,136.91,78.18,57.92,0.0,121.0
118,68.66,136.47,172.29,1230.28,142.76
119,121.9,117.56,165.84,0.0,0.0
120,138.41,50.92,98.46,0.0,0.0
121,295.62,82.69,78.52,0.0,0.0
122,54.03,225.29,102.75,919.43,0.0
123,118.22,141.25,96.53,0.0,0.0
124,114.45,101.12,171.21,0.0,0.0
125,94.0,119.67,83.93,0.0,0.0
126,114.38,131.52,183.1,0.0,104.21
127,86.39,185.34,133.34,906.79,0.0
128,111.02,87.98,129.52,0.0,0.0
129,76.63,140.9,103.41,0.0,0.0
130,385.76,171.5,167.68,994.86,168.12
131,35.6,110.47,111.69,0.0,0.0
132,66.74,136.24,112.23,1643.59,98.42
133,205.05,158.53,153.61,0.0,0.0
134,113.69,195.01,78.86,1661.0,0.0
135,191.03,110.15,75.9,0.0,0.0
136,149.89,143.12,188.92,828.02,130.34
137,317.24,81.56,57.01,0.0,0.0
138,37.05,45.75,52.19,0.0,0.0
139,111.3,139.92,160.93,0.0,0.0
140,180.39,121.42,108.19,0.0,59.29
141,101.71,44.15,98.84,0.0,0.0
142,57.31,140.6,130.01,0.0,0.0
143,283.15,140.81,154.53,0.0,0.0
144,119.77,36.92,84.39,0.0,0.0
145,293.48,267.35,166.83,0.0,0.0
146,261.81,144.93,120.19,0.0,0.0
147,91.68,35.75,62.46,0.0,0.0
148,48.83,131.29,175.82,1006.45,0.0
149,46.42,38.25,57.09,0.0,0.0
150,255.73,239.39,107.94,0.0,0.0
151,102.19,72.54,118.27,0.0,0.0
152,35.26,95.71,106.16,0.0,0.0
153,156.86,84.37,113.86,0.0,0.0
154,179.0,209.15,128.59,0.0,0.0
155,44.51,61.81,101.02,0.0,96.59
156,162.45,174.46,101.5,1475.77,83.36
157,82.54,60.96,87.37,0.0,91.15
158,91.74,131.84,178.95,1245.16,0.0
159,79.17,57.58,131.3,0.0,0.0
160,115.64,91.55,59.25,0.0,145.26
161,118.95,150.4,114.44,950.97,126.46
162,78.33,120.73,98.6,0.0,0.0
163,133.28,169.32,149.12,0.0,0.0
164,153.84,373.89,72.2,0.0,177.99
165,97.16,70.93,89.48,0.0,74.01
166,39.94,70.65,107.45,0.0,0.0
167,178.03,236.15,105.12,1066.35,0.0
168,108.59,197.46,80.01,1722.71,0.0
169,65.81,91.29,82.14,0.0,102.29
170,50.9,200.61,193.52,1141.32,0.0
171,77.76,33.55,74.06,0.0,0.0
172,173.66,144.26,123.12,850.85,77.05
173,84.72,172.54,78.9,0.0,0.0
174,89.43,52.94,118.2,0.0,0.0
175,93.96,103.79,103.86,0.0,0.0
176,106.17,183.0,99.0,0.0,0.0
177,288.37,258.01,234.78,0.0,0.0
178,113.38,39.2,128.52,0.0,0.0
179,55.63,201.83,111.71,905.37,93.45
180,252.56,75.7,59.73,0.0,0.0
181,53.26,204.84,160.95,0.0,0.0
182,77.32,100.91,163.99,972.52,0.0
183,364.62,291.15,198.22,1378.4,0.0
184,290.95,56.9,88.46,0.0,77.08
185,102.28,249.8,102.4,0.0,139.45
186,158.05,268.97,91.38,0.0,0.0
187,189.82,51.69,49.72,0.0,0.0
188,150.33,118.99,144.39,1312.11,90.65
189,85.09,181.15,144.91,0.0,0.0
190,259.03,340.14,205.21,0.0,148.66
191,67.74,36.58,64.46,0.0,103.54
192,109.64,109.12,90.9,0.0,0.0
193,119.25,77.13,152.04,1633.17,0.0
194,57.18,96.89,125.06,0.0,0.0
195,90.06,34.56,82.08,0.0,0.0
196,122.09,113.5,98.28,1108.88,107.82
197,45.99,43.63,104.07,0.0,71.07
198,137.82,328.4,127.5,727.5,0.0
199,216.95,249.06,110.14,919.79,0.0
200,363.59,146.2,98.23,1648.42,91.92
201,174.09,274.19,173.72,0.0,136.24
202,62.81,56.3,88.29,0.0,0.0
203,99.03,270.31,155.98,987.58,0.0
204,36.78,119.76,149.36,907.49,0.0
205,216.76,310.26,141.77,0.0,0.0
206,36.78,73.97,162.67,0.0,0.0
207,62.42,138.67,72.96,1336.74,0.0
208,147.79,46.86,112.78,0.0,0.0
209,33.24,81.15,152.58,0.0,115.56
210,120.77,63.67,73.99,0.0,0.0
211,148.96,42.92,87.64,0.0,0.0
212,40.36,220.2,127.06,1660.63,0.0
213,32.61,171.24,203.2,0.0,0.0
214,92.9,115.37,104.57,1261.99,82.18
215,91.2,77.47,117.15,0.0,101.71
216,169.24,276.12,95.58,1083.57,0.0
217,124.35,122.76,60.77,0.0,0.0
218,228.39,183.1,130.35,0.0,168.46
219,290.67,85.18,100.62,0.0,0.0
220,315.04,318.59,84.39,1746.02,0.0
221,299.7,112.56,163.16,789.29,0.0
222,64.72,111.92,104.18,0.0,0.0
223,68.62,59.11,94.07,0.0,0.0
224,67.13,117.5,124.54,0.0,0.0
225,176.83,235.25,145.5,0.0,0.0
226,160.63,289.41,141.47,0.0,0.0
227,149.04,61.28,128.27,0.0,0.0
228,154.53,58.29,93.08,0.0,0.0
229,353.77,183.62,118.29,0.0,0.0
230,69.16,228.36,129.17,1192.27,0.0
231,65.25,140.7,116.42,0.0,0.0
232,104.94,117.04,141.6,798.34,127.27
233,62.36,38.35,118.91,0.0,0.0
234,147.72,145.47,193.52,0.0,0.0
235,82.79,161.15,146.42,0.0,0.0
236,169.83,117.28,71.68,0.0,0.0
237,122.15,180.25,85.77,1660.63,106.86
238,245.34,186.96,122.02,0.0,99.69
239,218.4,135.68,84.85,0.0,0.0
240,90.45,132.07,144.61,0.0,0.0
241,321.23,176.83,160.04,0.0,0.0
242,73.01,47.35,88.92,0.0,55.78
243,178.91,276.17,178.37,0.0,55.05
244,92.4,92.05,133.33,1615.58,98.19
245,73.62,54.97,122.3,0.0,0.0
246,35.01,40.08,94.65,0.0,144.52
247,182.93,107.24,62.09,0.0,0.0
248,117.62,40.19,65.8,0.0,145.58
249,100.77,51.86,52.79,0.0,0.0
250,213.89,186.54,113.7,0.0,76.47
251,356.88,271.0,155.69,959.29,131.67
252,259.31,85.92,58.59,0.0,0.0
253,106.52,64.14,89.44,0.0,0.0
254,69.15,175.84,204.74,0.0,75.67
255,96.42,49.22,52.94,0.0,0.0
256,69.32,71.18,110.18,0.0,0.0
257,103.8,181.66,149.88,0.0,0.0
258,115.49,177.56,126.71,1619.09,0.0
259,307.22,88.27,134.3,0.0,0.0
260,52.26,39.62,62.11,0.0,0.0
261,111.88,277.4,171.81,1319.13,0.0
262,70.85,138.61,102.54,0.0,0.0
263,264.64,51.4,72.36,0.0,167.74
264,77.69,159.61,121.38,0.0,0.0
265,66.36,37.84,100.51,0.0,0.0
266,60.45,92.33,82.28,0.0,0.0
267,33.12,45.19,136.0,0.0,66.68
268,42.9,161.21,77.63,0.0,0.0
269,150.91,239.32,152.66,1619.26,119.78
270,66.37,87.51,109.9,0.0,143.39
271,83.88,166.17,174.51,1121.51,0.0
272,247.34,224.87,136.91,1187.24,0.0
273,90.5,100.61,122.73,0.0,113.97
274,73.63,60.73,136.79,0.0,96.22
275,101.12,172.47,70.32,0.0,82.85
276,113.49,197.95,146.93,967.65,77.58
277,56.92,204.26,182.27,1030.97,0.0
278,52.19,36.56,57.43,0.0,75.04
279,133.8,70.1,155.01,0.0,128.38
280,155.1,247.35,74.94,1812.99,87.85
281,100.08,46.21,126.97,0.0,0.0
282,81.48,339.11,219.5,740.22,84.24
283,64.4,102.06,65.29,0.0,125.84
284,60.62,38.63,69.55,0.0,0.0
285,55.87,94.39,103.31,0.0,0.0
286,89.93,52.42,91.72,0.0,0.0
287,53.86,60.96,108.28,0.0,116.86
288,94.35,192.57,83.04,1233.22,0.0
289,236.35,87.15,58.1,0.0,162.99
290,133.62,108.89,77.64,0.0,0.0
291,98.72,143.41,185.47,0.0,0.0
292,57.95,122.83,91.74,0.0,132.44
293,51.18,70.37,136.29,0.0,55.97
294,49.21,251.72,129.61,772.18,0.0
295,75.35,207.03,149.66,0.0,0.0
296,248.6,87.85,48.98,0.0,0.0
297,94.08,130.73,61.45,0.0,0.0
298,56.27,151.92,157.49,826.24,0.0
299,149.27,71.7,160.81,0.0,134.61
300,185.98,223.92,90.82,0.0,71.24
301,75.05,191.55,110.72,0.0,141.05
302,119.59,110.47,165.6,0.0,0.0
303,190.21,97.14,69.24,0.0,0.0
304,162.14,57.7,77.18,0.0,0.0
305,63.25,185.36,107.03,0.0,95.03
306,56.49,129.39,112.69,0.0,0.0
307,151.17,145.65,72.7,0.0,0.0
308,89.91,190.52,129.32,0.0,124.56
309,85.48,86.96,130.08,0.0,0.0
310,36.64,69.1,110.7,0.0,0.0
311,295.52,118.17,69.12,1167.5,150.66
312,62.12,43.85,51.02,0.0,65.37
313,103.05,60.52,142.52,0.0,0.0
314,119.36,34.1,115.61,0.0,103.49
315,108.55,135.57,175.64,0.0,0.0
316,228.32,48.91,48.34,0.0,0.0
317,77.1,139.53,187.97,1064.63,0.0
318,119.09,186.71,183.59,0.0,188.45
319,155.25,187.95,91.44,0.0,0.0
320,248.12,174.27,88.03,0.0,160.17
321,93.81,102.56,122.71,0.0,0.0
322,129.65,62.84,64.12,0.0,0.0
323,50.57,174.98,76.38,1139.91,0.0
324,372.12,213.03,163.4,0.0,0.0
325,131.82,34.39,126.35,0.0,0.0
326,53.4,330.89,176.82,0.0,67.6
327,132.79,109.02,107.21,0.0,0.0
328,123.9,41.43,103.95,0.0,0.0
329,41.89,177.86,129.62,1170.63,0.0
330,162.78,254.47,121.5,0.0,79.86
331,91.28,121.44,66.54,0.0,0.0
332,170.51,66.35,74.87,0.0,0.0
333,152.76,67.02,100.86,0.0,0.0
334,118.84,98.87,58.87,0.0,0.0
335,103.33,56.05,129.7,0.0,0.0
336,67.32,45.31,96.57,0.0,0.0
337,131.87,35.57,102.94,0.0,0.0
338,122.09,72.33,84.18,0.0,0.0
339,274.7,170.96,214.84,1040.06,0.0
340,317.6,211.31,119.78,1459.33,0.0
341,112.09,81.28,78.93,982.25,0.0
342,152.12,67.5,139.57,0.0,113.42
343,103.75,139.51,73.56,0.0,0.0
344,93.84,109.8,163.72,0.0,61.12
345,53.58,163.9,104.62,0.0,125.55
346,36.28,82.29,139.3,0.0,0.0
347,69.05,81.36,92.51,0.0,0.0
348,52.63,37.93,106.3,0.0,0.0
349,177.0,180.37,136.53,1209.54,0.0
350,196.12,344.51,190.96,0.0,0.0
351,93.83,242.1,157.88,928.16,89.05
352,127.66,124.8,155.0,0.0,0.0
353,88.31,110.26,170.7,910.01,0.0
354,139.75,309.38,148.26,835.75,193.29
355,54.77,55.11,102.79,0.0,63.6
356,356.62,164.16,148.26,0.0,0.0
357,90.15,90.5,156.5,0.0,68.22
358,357.04,279.06,75.4,1056.97,0.0
359,139.71,87.88,146.55,0.0,0.0
360,221.48,128.12,132.9,1336.43,180.05
361,277.05,91.32,124.64,1525.79,0.0
362,185.97,63.16,85.04,0.0,73.24
363,53.54,103.91,64.14,0.0,0.0
364,349.85,79.71,138.78,0.0,81.38
365,191.1,261.27,206.85,0.0,0.0
366,106.77,43.93,66.83,0.0,59.39
367,96.14,59.16,85.08,0.0,0.0
368,60.72,66.75,122.37,0.0,0.0
369,71.55,115.02,135.93,1691.56,0.0
370,187.82,70.11,59.83,0.0,0.0
371,183.57,88.67,49.06,0.0,0.0
372,134.0,93.68,165.77,0.0,76.15
373,66.85,185.43,213.64,0.0,104.64
374,181.57,118.42,117.79,0.0,0.0
375,31.35,111.3,120.49,0.0,0.0
376,79.44,202.85,186.7,1116.34,113.79
377,129.46,59.23,93.19,0.0,116.8
378,46.94,43.93,93.34,0.0,0.0
379,178.13,111.51,69.77,0.0,0.0
380,46.04,185.98,124.59,0.0,0.0
381,122.4,70.42,110.2,0.0,136.04
382,106.23,212.9,177.18,0.0,103.87
383,382.95,158.28,167.52,0.0,67.22
384,116.9,215.04,206.47,0.0,64.23
385,162.96,54.35,113.37,0.0,0.0
386,148.36,69.54,76.4,0.0,0.0
387,74.79,106.56,96.29,0.0,0.0
388,252.81,265.62,156.93,752.28,0.0
389,53.66,185.32,156.17,0.0,0.0
390,85.89,240.01,181.77,1087.81,0.0
391,75.41,32.3,111.54,0.0,132.44
392,89.41,215.76,139.16,1612.54,141.74
393,205.04,105.0,93.52,0.0,0.0
394,56.12,168.98,84.51,0.0,0.0
395,135.49,46.07,90.33,0.0,0.0
396,175.13,243.73,169.06,1703.58,80.41
397,103.92,65.77,54.96,0.0,0.0
398,308.51,326.5,117.67,1184.51,0.0
399,142.91,142.7,71.07,0.0,0.0
400,53.21,118.64,88.7,0.0,0.0
401,44.57,36.1,125.46,0.0,127.87
402,125.58,67.57,100.31,0.0,0.0
403,145.51,141.73,175.61,1191.46,0.0
404,62.43,33.02,118.26,0.0,52.08
405,147.64,113.7,110.92,0.0,0.0
406,74.46,98.79,74.15,0.0,0.0
407,177.99,239.57,72.29,0.0,96.58
408,383.29,65.55,88.79,0.0,122.36
409,31.46,69.63,112.41,0.0,126.25
410,82.97,131.37,106.19,0.0,0.0
411,107.42,49.63,83.22,0.0,95.69
412,44.13,42.29,117.8,0.0,0.0
413,143.08,140.62,66.55,0.0,0.0
414,200.02,176.81,77.82,0.0,0.0
415,135.17,40.77,100.52,0.0,0.0
416,74.94,97.02,59.44,0.0,0.0
417,110.29,212.49,114.85,0.0,0.0
418,53.27,105.82,77.98,0.0,0.0
419,86.24,89.23,79.76,0.0,0.0
420,166.62,143.88,110.26,848.95,0.0
421,114.62,39.41,99.51,0.0,0.0
422,148.33,150.66,116.93,0.0,173.63
423,95.29,134.93,71.02,0.0,67.64
424,190.91,221.17,139.74,1186.15,113.4
425,49.49,34.68,124.76,0.0,70.44
426,186.81,240.35,188.41,0.0,112.18
427,73.48,32.95,97.77,0.0,0.0
428,72.6,62.28,61.63,0.0,75.35
429,136.31,243.81,159.48,1783.79,0.0
430,112.4,75.56,112.54,0.0,141.16
431,68.69,151.87,190.84,1361.22,0.0
432,92.56,113.69,73.09,0.0,0.0
433,187.49,327.9,142.15,806.04,0.0
434,67.9,45.74,57.68,0.0,0.0
435,93.12,214.07,147.48,0.0,0.0
436,277.67,365.74,224.56,1213.07,0.0
437,42.19,71.75,161.73,0.0,115.08
438,81.54,131.11,59.39,0.0,0.0
439,69.36,110.6,97.34,0.0,123.42
440,44.21,169.37,105.66,0.0,69.88
441,76.55,95.22,126.92,0.0,0.0
442,102.52,41.38,116.01,0.0,0.0
443,72.73,296.64,110.08,944.82,0.0
444,261.73,281.62,98.48,0.0,70.75
445,73.09,113.51,87.85,0.0,0.0
446,86.53,70.03,58.85,0.0,0.0
447,79.34,105.7,120.24,0.0,83.89
448,48.0,92.72,134.14,0.0,0.0
449,254.33,273.36,64.64,1483.73,0.0
450,45.34,46.39,89.56,0.0,0.0
451,92.45,288.58,153.08,0.0,0.0
452,72.12,165.35,159.87,0.0,66.96
453,90.38,62.4,120.22,0.0,73.17
454,150.27,120.25,153.07,0.0,0.0
455,61.84,74.37,73.53,0.0,96.02
456,264.8,146.12,114.68,0.0,110.23
457,78.17,71.2,105.49,0.0,0.0
458,72.3,135.66,126.64,0.0,0.0
459,34.2,41.3,111.84,0.0,69.08
460,48.61,66.91,119.56,0.0,0.0
461,49.43,58.63,79.44,0.0,0.0
462,86.47,38.82,136.13,0.0,0.0
463,178.68,156.07,148.11,0.0,139.59
464,91.07,169.41,157.26,813.52,0.0
465,71.59,90.32,99.38,0.0,147.94
466,45.18,240.99,79.44,0.0,124.44
467,108.21,209.43,188.8,0.0,113.55
468,90.51,94.19,131.9,0.0,0.0
469,172.78,202.4,113.35,1372.32,0.0
470,81.41,54.01,91.65,0.0,0.0
471,124.29,67.02,71.81,0.0,0.0
472,83.8,92.15,139.02,0.0,0.0
473,142.92,51.73,109.86,0.0,0.0
474,79.3,121.76,130.51,0.0,0.0
475,128.38,128.88,126.06,1303.32,0.0
476,86.15,54.18,77.43,0.0,0.0
477,67.62,91.31,147.06,0.0,0.0
478,43.44,41.61,85.68,0.0,0.0
479,64.49,118.31,109.39,0.0,0.0
480,77.1,114.88,86.23,0.0,0.0
481,51.27,66.07,152.9,0.0,90.68
482,68.63,40.29,71.63,0.0,80.02
483,30.61,140.19,85.74,1067.7,0.0
484,85.84,63.48,107.96,0.0,0.0
485,174.45,170.3,81.18,0.0,0.0
486,148.08,130.4,165.53,0.0,92.68
487,56.39,124.84,118.69,0.0,0.0
488,386.89,298.09,78.6,0.0,0.0
489,109.83,71.23,71.64,0.0,0.0
490,243.77,49.22,137.57,0.0,0.0
491,140.45,83.01,117.38,0.0,94.77
492,48.91,84.03,95.76,1019.54,0.0
493,66.89,39.04,114.74,0.0,0.0
494,386.73,232.86,111.66,987.97,0.0
495,85.95,143.85,82.3,0.0,0.0
496,156.0,262.58,179.25,0.0,90.34
497,35.74,188.97,138.32,830.5,132.19
498,170.09,266.4,236.95,0.0,0.0
499,56.92,139.81,85.98,0.0,0.0
500,146.7,76.55,64.74,0.0,0.0
501,35.09,125.62,138.42,0.0,0.0
502,134.77,197.23,76.85,1848.72,0.0
503,59.85,128.51,165.86,1163.68,0.0
504,131.45,241.01,125.38,1655.82,0.0
505,70.47,126.21,165.04,997.95,0.0
506,185.16,85.43,156.83,0.0,0.0
507,31.29,67.1,113.7,0.0,0.0
508,42.5,78.43,95.72,0.0,118.43
509,137.93,71.52,166.84,0.0,0.0
510,318.89,83.17,82.35,0.0,0.0
511,327.76,275.4,88.63,1709.13,0.0
512,284.35,90.82,138.55,0.0,175.65
513,47.98,130.23,170.1,879.36,0.0
514,58.1,150.14,105.47,0.0,0.0
515,267.49,45.13,74.59,0.0,0.0
516,142.24,67.74,104.01,0.0,0.0
517,73.86,152.01,100.58,1383.73,0.0
518,120.39,134.0,200.61,1466.66,93.73
519,86.38,62.96,129.94,0.0,0.0
520,41.32,46.98,115.74,0.0,0.0
521,76.47,110.06,169.74,0.0,0.0
522,158.98,97.79,84.17,0.0,0.0
523,53.08,84.48,109.55,0.0,59.52
524,156.11,112.02,97.01,0.0,106.4
525,183.1,303.5,211.84,0.0,0.0
526,124.14,133.35,93.36,0.0,0.0
527,128.35,171.01,88.23,1601.11,0.0
528,380.55,356.81,160.68,0.0,175.73
529,123.79,73.56,99.13,0.0,0.0
530,90.92,255.08,93.41,0.0,61.82
531,96.27,131.51,68.19,0.0,0.0
532,152.66,109.76,109.04,0.0,77.04
533,174.93,132.47,138.72,0.0,71.98
534,116.47,80.84,61.95,0.0,89.97
535,67.35,186.66,198.65,885.73,137.1
536,66.46,106.77,142.62,0.0,0.0
537,169.27,94.05,92.94,0.0,107.85
538,76.65,218.84,76.38,0.0,0.0
539,132.37,113.52,188.12,1334.74,148.44
540,67.4,90.04,98.15,0.0,0.0
541,31.4,87.34,160.59,0.0,133.48
542,85.75,138.36,131.16,0.0,0.0
543,135.68,137.7,153.86,0.0,0.0
544,182.78,54.44,79.64,0.0,0.0
545,40.55,167.57,115.91,1818.95,0.0
546,68.62,138.41,148.46,870.91,0.0
547,144.5,166.97,123.82,0.0,0.0
548,47.93,67.29,85.92,0.0,0.0
549,135.04,71.04,50.77,0.0,0.0
550,143.4,271.09,111.23,0.0,0.0
551,365.29,91.18,66.31,0.0,0.0
552,54.33,190.77,183.17,1008.89,0.0
553,135.15,76.87,84.75,762.99,0.0
554,128.12,112.41,71.86,1623.8,0.0
555,102.27,34.23,64.01,0.0,0.0
556,97.11,209.05,90.33,1812.72,0.0
557,74.61,103.07,86.9,0.0,0.0
558,142.3,48.43,71.22,0.0,180.32
559,99.32,122.12,162.76,0.0,0.0
560,143.91,117.1,141.76,0.0,0.0
561,158.33,47.05,69.6,0.0,173.09
562,231.26,284.26,169.61,1138.65,127.08
563,79.54,77.78,128.25,0.0,126.34
564,232.64,167.6,119.12,0.0,82.69
565,87.65,207.18,125.32,0.0,138.01
566,150.18,255.35,179.43,767.08,0.0
567,145.77,145.65,109.85,0.0,163.91
568,69.19,154.79,184.69,1255.92,0.0
569,124.42,205.64,87.38,0.0,0.0
570,138.0,170.88,77.35,1465.85,0.0
571,123.18,109.14,111.1,0.0,99.64
572,99.04,93.46,122.03,0.0,102.95
573,80.3,141.69,114.25,1310.16,0.0
574,336.03,276.56,165.74,0.0,159.48
575,91.67,68.73,81.97,0.0,0.0
576,66.55,108.41,81.22,1117.9,82.34
577,257.62,167.57,87.36,0.0,134.01
578,187.81,109.31,64.12,0.0,129.09
579,238.93,88.58,54.75,0.0,0.0
580,99.72,106.59,112.07,992.0,0.0
581,270.82,84.38,156.47,0.0,129.63
582,117.79,103.77,111.32,0.0,128.3
583,64.47,236.13,96.41,0.0,0.0
584,40.9,69.66,96.45,0.0,0.0
585,30.88,154.82,212.79,974.53,0.0
586,320.76,276.2,76.47,0.0,0.0
587,31.37,37.09,105.76,0.0,0.0
588,139.52,70.86,106.58,0.0,0.0
589,383.47,64.98,132.63,0.0,0.0
590,60.05,39.83,87.95,0.0,0.0
591,31.51,183.28,132.69,0.0,0.0
592,238.36,99.31,164.54,0.0,0.0
593,167.45,71.56,50.3,0.0,0.0
594,215.04,340.24,177.19,0.0,0.0
595,83.69,98.09,134.6,0.0,121.79
596,208.73,254.83,85.12,0.0,0.0
597,63.05,42.04,116.5,0.0,0.0
598,46.46,76.17,129.88,0.0,0.0
599,258.05,109.77,57.83,0.0,0.0
600,142.0,46.9,129.6,0.0,0.0
601,126.52,64.83,109.14,0.0,0.0
602,75.77,179.83,205.44,0.0,116.3
603,137.29,35.94,108.15,0.0,138.04
604,131.49,54.92,88.8,0.0,0.0
605,74.75,39.35,107.16,0.0,0.0
606,263.3,189.61,174.51,0.0,0.0
607,64.06,39.35,88.45,0.0,0.0
608,30.34,87.8,103.36,0.0,0.0
609,152.73,171.17,77.25,0.0,0.0
610,62.81,42.31,102.1,0.0,80.04
611,45.84,71.76,105.71,0.0,0.0
612,174.84,60.75,84.29,0.0,77.22
613,193.88,78.74,51.76,0.0,0.0
614,76.61,118.52,123.64,0.0,0.0
615,105.51,42.56,53.32,0.0,0.0
616,53.24,46.05,56.49,0.0,80.58
617,31.06,45.78,53.02,0.0,65.42
618,191.23,195.72,112.91,1750.71,0.0
619,248.72,213.71,162.71,770.53,0.0
620,80.95,202.66,157.74,1300.63,0.0
621,173.68,241.48,121.72,1680.64,0.0
622,216.52,258.39,172.13,0.0,0.0
623,61.21,248.35,184.49,848.2,125.25
624,207.95,219.33,158.8,1382.06,0.0
625,79.82,249.17,121.19,1130.92,0.0
626,137.73,56.86,52.4,0.0,155.1
627,132.4,146.65,183.87,1072.86,0.0
628,55.68,130.46,165.58,0.0,0.0
629,177.51,128.22,66.95,0.0,142.6
