totalExpenses,totalSavingsInvestments,monthlyCashFlow,housingRatio,debtToIncome,savingsInvestmentsRate,carPaymentRatio,savingsInvestmentsRate,monthsSaved,financialHealth
8464.73,223.92,-4407.64,60.53,0.84,5.23,0.0,5.23,2.9,FinanciallyDistressed
5989.64,424.05,-2031.92,43.24,10.86,9.68,10.59,9.68,1.37,FinanciallyVulnerable
5594.18,744.58,-2468.19,64.84,0.03,19.24,0.0,19.24,1.29,FinanciallyVulnerable
7443.45,587.69,-269.75,34.45,16.73,7.57,14.26,7.57,2.94,FinanciallyVulnerable
4172.1,366.27,-2146.59,35.55,25.39,15.31,24.86,15.31,2.93,FinanciallyVulnerable
9370.57,850.52,-838.32,41.34,7.6,9.06,0.0,9.06,0.99,FinanciallyDistressed
10325.83,819.52,-3456.74,35.37,29.67,10.66,12.42,10.66,0.5,FinanciallyVulnerable
8330.1,635.26,-2775.26,29.49,14.53,10.26,0.0,10.26,0.63,FinanciallyVulnerable
9346.98,395.76,-3036.12,44.33,0.5,5.9,0.0,5.9,0.05,FinanciallyDistressed
9330.2,1001.28,-4912.65,68.67,20.94,18.48,12.77,18.48,1.23,FinanciallyVulnerable
7670.7,0.0,171.04,42.25,6.73,0.0,0.0,0.0,1.15,FinanciallyVulnerable
5821.78,0.0,-3518.24,79.33,7.05,0.0,0.0,0.0,0.88,FinanciallyDistressed
10068.48,190.63,-6679.92,94.79,13.14,5.33,9.76,5.33,5.83,FinanciallyVulnerable
4308.25,276.5,-1529.42,49.52,3.73,9.05,0.0,9.05,2.88,FinanciallyVulnerable
5423.75,613.28,-1645.51,37.18,0.75,13.97,0.0,13.97,2.44,FinanciallyVulnerable
7640.16,307.52,-5616.16,86.27,26.91,13.19,0.0,13.19,0.92,FinanciallyDistressed
5576.03,0.0,-339.18,31.64,14.28,0.0,0.0,0.0,0.23,FinanciallyDistressed
9627.12,159.65,-5351.3,72.55,9.97,3.6,0.0,3.6,3.17,FinanciallyDistressed
8171.33,396.4,-5357.6,83.67,33.23,12.35,13.42,12.35,2.49,FinanciallyDistressed
8915.29,1348.38,-3136.32,30.92,31.01,18.92,23.27,18.92,0.11,FinanciallyDistressed
4220.26,97.22,-1410.24,52.03,15.48,3.34,13.0,3.34,1.56,FinanciallyDistressed
5419.79,355.8,-2227.38,49.57,14.25,10.03,10.93,10.03,1.2,FinanciallyVulnerable
7466.49,232.81,-4811.55,69.95,1.01,8.06,0.0,8.06,4.78,FinanciallyVulnerable
4784.11,299.64,537.96,27.87,15.03,5.33,14.69,5.33,1.69,FinanciallyStable
4982.31,0.0,753.1,24.24,16.23,0.0,0.0,0.0,0.57,FinanciallyVulnerable
4062.45,174.45,-994.51,38.85,7.59,5.38,0.0,5.38,5.18,FinanciallyVulnerable
7533.01,431.15,-3135.57,49.29,13.12,8.93,0.0,8.93,2.3,FinanciallyVulnerable
5098.98,164.73,-1900.51,43.28,0.13,4.9,0.0,4.9,0.83,FinanciallyDistressed
5631.32,0.0,-757.61,37.07,15.11,0.0,11.44,0.0,0.55,FinanciallyDistressed
5436.36,195.2,-865.98,43.57,10.78,4.1,0.0,4.1,1.24,FinanciallyVulnerable
6278.64,106.01,-3894.64,88.27,1.65,4.26,0.0,4.26,1.19,FinanciallyDistressed
6805.9,1100.13,-2096.05,25.25,34.02,18.94,18.52,18.94,2.03,FinanciallyVulnerable
5109.33,0.0,-2546.32,82.04,11.98,0.0,0.0,0.0,0.6,FinanciallyDistressed
15330.24,1200.08,-6469.28,39.94,17.95,11.93,17.84,11.93,1.08,FinanciallyVulnerable
4548.26,281.18,-1364.57,42.2,18.67,8.12,9.54,8.12,1.15,FinanciallyVulnerable
7055.87,83.24,-2801.81,49.93,22.89,1.92,18.08,1.92,2.0,FinanciallyDistressed
6802.56,256.34,-4378.55,83.49,0.06,9.56,0.0,9.56,4.79,FinanciallyVulnerable
4943.53,168.46,-3363.7,108.51,28.22,9.64,25.51,9.64,2.1,FinanciallyDistressed
16634.15,3914.05,-8577.86,47.11,31.34,32.7,26.64,32.7,5.09,FinanciallyVulnerable
6674.46,674.26,2957.34,22.32,5.73,6.54,0.0,6.54,1.17,FinanciallyThriving
6177.36,807.27,-2806.67,48.67,27.02,19.32,15.36,19.32,1.45,FinanciallyVulnerable
6438.38,0.0,-1775.96,40.9,10.66,0.0,0.0,0.0,0.4,FinanciallyDistressed
7432.88,690.3,-4912.25,37.4,33.58,21.5,14.24,21.5,3.45,FinanciallyVulnerable
10202.34,1237.96,-2536.3,39.18,34.74,13.9,25.36,13.9,4.91,FinanciallyVulnerable
4925.17,88.76,-2462.79,71.08,30.3,3.48,25.51,3.48,1.12,FinanciallyDistressed
4124.33,164.3,-2626.03,60.12,0.37,9.88,0.0,9.88,1.81,FinanciallyDistressed
11203.74,958.25,-1585.53,30.4,6.76,9.06,0.0,9.06,0.4,FinanciallyVulnerable
3714.58,0.0,-1858.13,48.75,0.65,0.0,0.0,0.0,0.13,FinanciallyDistressed
6509.68,0.0,-4473.24,71.63,2.31,0.0,0.0,0.0,0.75,FinanciallyDistressed
5592.4,0.0,1896.32,22.15,5.56,0.0,0.0,0.0,0.14,FinanciallyStable
9278.73,0.0,-4916.47,70.24,27.28,0.0,18.92,0.0,0.85,FinanciallyDistressed
3765.6,214.24,-1300.73,49.38,0.23,8.0,0.0,8.0,0.3,FinanciallyDistressed
7291.64,0.0,-4928.82,73.25,4.14,0.0,0.0,0.0,0.71,FinanciallyDistressed
4875.4,433.67,-1159.38,44.3,0.03,10.45,0.0,10.45,4.51,FinanciallyVulnerable
5239.85,190.98,-2726.43,76.62,3.5,7.06,0.0,7.06,4.43,FinanciallyVulnerable
12184.6,1201.11,-2693.14,23.23,22.17,11.23,9.97,11.23,2.05,FinanciallyVulnerable
3849.22,0.0,-1265.26,40.18,8.61,0.0,0.0,0.0,1.58,FinanciallyVulnerable
6217.45,0.0,-530.1,27.8,22.12,0.0,10.25,0.0,1.98,FinanciallyVulnerable
13950.05,2091.7,-3981.56,41.08,7.81,17.34,0.0,17.34,0.89,FinanciallyVulnerable
6961.48,392.95,-3752.39,77.56,0.75,10.91,0.0,10.91,0.67,FinanciallyDistressed
8638.55,476.29,-5406.02,98.52,21.12,12.84,11.4,12.84,3.92,FinanciallyVulnerable
7582.04,193.11,-4293.21,69.08,22.44,5.55,9.57,5.55,1.5,FinanciallyDistressed
6450.43,622.06,-361.14,30.64,0.32,9.27,0.0,9.27,2.69,FinanciallyVulnerable
6627.88,527.71,-457.28,24.46,14.1,7.88,13.66,7.88,0.31,FinanciallyVulnerable
6145.79,56.35,-4333.12,85.94,7.27,3.01,0.0,3.01,2.65,FinanciallyDistressed
5500.75,0.0,-1318.81,36.62,13.48,0.0,0.0,0.0,1.24,FinanciallyVulnerable
4844.06,484.2,-499.39,26.54,10.87,10.03,0.0,10.03,1.14,FinanciallyStable
7362.84,851.18,1437.96,11.66,30.1,8.82,21.24,8.82,3.8,FinanciallyStable
6763.91,305.9,-4015.3,57.49,7.94,10.01,0.0,10.01,3.43,FinanciallyVulnerable
7790.19,317.87,-1634.17,32.28,7.94,4.91,0.0,4.91,1.36,FinanciallyVulnerable
8029.01,221.71,-2671.81,33.66,28.18,3.97,11.39,3.97,1.47,FinanciallyVulnerable
5564.58,291.0,-1963.93,36.32,3.03,7.48,0.0,7.48,2.79,FinanciallyVulnerable
5991.1,199.3,-2810.35,52.38,4.99,5.9,0.0,5.9,1.78,FinanciallyDistressed
7458.16,342.68,-4217.62,52.28,17.17,9.56,16.93,9.56,4.1,FinanciallyDistressed
6089.73,0.0,-1583.08,44.04,22.96,0.0,12.31,0.0,1.5,FinanciallyDistressed
5437.19,93.48,-2691.09,48.98,8.81,3.29,0.0,3.29,1.04,FinanciallyVulnerable
10041.05,1067.04,1736.62,19.65,5.84,8.31,0.0,8.31,1.2,FinanciallyStable
5971.99,0.0,-2817.22,41.55,24.44,0.0,17.82,0.0,0.48,FinanciallyDistressed
9480.41,0.0,-5401.2,73.56,28.45,0.0,21.42,0.0,1.01,FinanciallyDistressed
10851.85,1377.85,-4344.94,56.85,25.42,17.47,13.37,17.47,2.11,FinanciallyVulnerable
8733.72,502.26,-4718.13,60.72,6.2,11.12,0.0,11.12,1.37,FinanciallyVulnerable
5332.31,691.13,-1942.42,45.19,0.9,16.94,0.0,16.94,0.65,FinanciallyVulnerable
8506.54,984.18,-3796.45,36.06,18.58,17.28,14.05,17.28,1.41,FinanciallyVulnerable
5204.94,1483.72,309.78,20.78,6.45,21.2,0.0,21.2,1.1,FinanciallyThriving
3513.7,97.02,-478.85,49.53,3.58,3.1,0.0,3.1,0.32,FinanciallyDistressed
6299.82,333.44,-308.86,27.86,8.02,5.27,0.0,5.27,5.36,FinanciallyStable
5333.01,0.0,-1910.14,58.48,3.44,0.0,0.0,0.0,0.28,FinanciallyDistressed
4088.42,274.4,513.97,27.29,1.02,5.63,0.0,5.63,5.87,FinanciallyThriving
5439.84,240.92,-2537.92,61.12,0.5,7.67,0.0,7.67,2.99,FinanciallyDistressed
10549.33,1073.33,170.63,30.93,13.22,9.1,11.43,9.1,0.71,FinanciallyVulnerable
5069.25,0.0,-326.6,38.58,10.48,0.0,0.0,0.0,1.27,FinanciallyVulnerable
12361.39,649.21,1027.66,41.59,5.71,4.62,0.0,4.62,0.11,FinanciallyVulnerable
7050.98,894.14,-1125.05,19.95,18.74,13.11,0.0,13.11,1.05,FinanciallyVulnerable
4588.23,487.72,-412.17,21.85,20.82,10.46,0.0,10.46,1.05,FinanciallyVulnerable
7550.8,119.3,-4031.31,54.68,0.15,3.28,0.0,3.28,0.62,FinanciallyDistressed
4058.89,117.03,-1853.19,62.46,30.07,5.04,14.11,5.04,0.03,FinanciallyDistressed
9681.46,1294.73,-2435.31,31.75,12.15,15.16,0.0,15.16,0.2,FinanciallyVulnerable
6192.19,571.26,-1419.88,35.68,12.32,10.69,8.09,10.69,1.04,FinanciallyVulnerable
7640.69,0.0,-4558.39,96.05,16.75,0.0,0.0,0.0,0.85,FinanciallyDistressed
10984.99,816.22,-2325.86,40.4,30.75,8.61,19.4,8.61,1.65,FinanciallyDistressed
9564.53,823.36,-1610.4,22.14,29.57,9.38,17.46,9.38,1.81,FinanciallyVulnerable
3769.99,0.0,-895.15,48.71,1.69,0.0,0.0,0.0,1.35,FinanciallyVulnerable
10898.21,1485.33,-2873.75,41.2,6.46,15.62,0.0,15.62,1.09,FinanciallyVulnerable
4675.19,383.7,-1126.13,38.43,13.14,9.76,0.0,9.76,1.65,FinanciallyVulnerable
8868.93,710.88,-5121.12,63.4,0.9,15.94,0.0,15.94,2.26,FinanciallyVulnerable
5455.24,405.96,-1972.43,51.96,21.41,10.44,0.0,10.44,2.53,FinanciallyDistressed
5351.37,443.82,-1656.83,36.87,0.23,10.72,0.0,10.72,0.79,FinanciallyVulnerable
7093.19,870.77,-465.85,23.05,0.51,11.61,0.0,11.61,0.23,FinanciallyVulnerable
6312.55,0.0,-1398.37,38.14,25.67,0.0,15.52,0.0,1.54,FinanciallyDistressed
9250.68,346.34,-6182.98,70.27,31.24,10.14,17.82,10.14,2.3,FinanciallyDistressed
8514.77,1237.28,-1591.13,27.59,5.88,15.16,0.0,15.16,3.47,FinanciallyStable
7110.52,273.12,-2108.22,47.07,20.07,5.18,9.48,5.18,1.25,FinanciallyVulnerable
5199.68,0.0,-2097.15,64.19,33.5,0.0,18.72,0.0,1.46,FinanciallyDistressed
10034.41,1450.35,-4269.44,42.03,4.96,20.1,0.0,20.1,1.73,FinanciallyVulnerable
12921.94,318.73,-7723.25,81.32,19.36,5.78,16.56,5.78,1.66,FinanciallyDistressed
6530.99,0.0,-3858.89,67.36,46.41,0.0,20.98,0.0,1.15,FinanciallyDistressed
8325.87,0.0,-5493.19,80.82,9.12,0.0,0.0,0.0,1.73,FinanciallyDistressed
4497.09,238.82,-2105.26,59.14,20.87,9.08,13.65,9.08,1.9,FinanciallyDistressed
8192.65,924.85,-3692.39,30.82,19.36,17.05,0.0,17.05,2.11,FinanciallyVulnerable
5339.06,186.41,-1437.59,28.33,15.18,4.56,8.21,4.56,2.19,FinanciallyVulnerable
4299.03,245.42,130.83,26.55,6.39,5.25,0.0,5.25,2.62,FinanciallyStable
7001.87,359.4,-3614.92,57.61,38.58,9.59,23.08,9.59,1.04,FinanciallyDistressed
7738.63,493.47,-4619.85,65.36,22.48,13.66,0.0,13.66,2.98,FinanciallyDistressed
10758.94,768.99,-3017.26,35.68,8.47,9.04,0.0,9.04,1.6,FinanciallyVulnerable
5902.35,0.0,760.14,39.45,6.38,0.0,0.0,0.0,0.36,FinanciallyVulnerable
6658.39,227.09,-4375.35,90.12,1.95,9.05,0.0,9.05,5.96,FinanciallyVulnerable
4920.05,0.0,2058.27,17.52,4.31,0.0,0.0,0.0,1.76,FinanciallyStable
6418.52,244.53,-3313.53,57.36,12.42,7.3,0.0,7.3,3.0,FinanciallyVulnerable
6742.26,0.0,-3516.45,46.35,11.79,0.0,0.0,0.0,0.99,FinanciallyDistressed
12762.39,652.0,-5823.44,50.39,20.64,8.59,14.03,8.59,3.81,FinanciallyDistressed
7436.33,1105.75,150.94,24.09,15.46,12.72,15.03,12.72,5.45,FinanciallyStable
9078.03,113.76,-6778.63,174.7,1.34,4.71,0.0,4.71,1.39,FinanciallyDistressed
10473.37,2063.93,3301.18,22.78,8.0,13.03,0.0,13.03,1.16,FinanciallyThriving
6191.7,608.91,-3011.83,63.19,19.99,16.07,0.0,16.07,4.92,FinanciallyVulnerable
8146.94,432.48,-1967.28,34.21,9.78,6.54,0.0,6.54,1.09,FinanciallyVulnerable
7331.58,189.79,-4001.54,65.33,11.45,5.39,0.0,5.39,0.22,FinanciallyDistressed
13120.26,0.0,-4164.22,37.36,28.16,0.0,11.97,0.0,0.73,FinanciallyDistressed
6904.23,760.88,-1585.34,47.09,16.84,12.51,16.21,12.51,0.69,FinanciallyDistressed
5046.15,81.07,-1408.3,44.34,1.45,2.18,0.0,2.18,0.46,FinanciallyDistressed
9218.94,0.0,-4971.9,82.83,10.08,0.0,0.0,0.0,1.49,FinanciallyDistressed
3843.03,91.24,-1299.87,39.98,4.6,3.46,0.0,3.46,1.46,FinanciallyVulnerable
4951.44,497.68,-1016.52,21.82,21.6,11.23,11.39,11.23,0.94,FinanciallyVulnerable
8446.0,779.68,-4723.76,57.52,5.28,17.32,0.0,17.32,1.01,FinanciallyVulnerable
4185.2,0.0,-1290.54,37.4,7.03,0.0,0.0,0.0,0.07,FinanciallyDistressed
10893.97,1246.04,-2225.54,19.3,23.03,12.57,13.74,12.57,4.94,FinanciallyStable
14136.3,2699.71,-5964.71,25.5,33.25,24.83,18.51,24.83,3.03,FinanciallyVulnerable
11615.31,2924.23,-422.77,31.85,1.38,20.71,0.0,20.71,1.48,FinanciallyStable
10130.69,1201.55,-6092.66,58.7,33.48,22.93,13.14,22.93,2.12,FinanciallyDistressed
4004.63,0.0,-1751.0,83.49,13.05,0.0,0.0,0.0,0.88,FinanciallyDistressed
8086.77,769.21,-2997.14,35.54,0.74,13.13,0.0,13.13,1.43,FinanciallyVulnerable
6160.73,177.75,-3968.53,66.82,14.3,7.5,0.0,7.5,4.77,FinanciallyVulnerable
9407.62,1052.4,-775.99,21.78,11.84,10.87,0.0,10.87,2.49,FinanciallyStable
4554.46,102.73,-1910.27,50.97,5.75,3.74,0.0,3.74,0.43,FinanciallyDistressed
8802.12,125.45,-5364.09,101.19,1.16,3.52,0.0,3.52,1.64,FinanciallyDistressed
5505.0,0.0,-1515.28,65.24,0.16,0.0,0.0,0.0,0.02,FinanciallyDistressed
7387.15,277.54,-4913.48,103.2,23.32,10.09,13.33,10.09,2.8,FinanciallyDistressed
4599.47,608.69,-499.53,32.49,0.22,12.93,0.0,12.93,2.33,FinanciallyVulnerable
5415.23,0.0,-1546.63,44.16,31.35,0.0,20.75,0.0,0.9,FinanciallyDistressed
9224.7,0.0,-6053.25,83.33,1.37,0.0,0.0,0.0,1.74,FinanciallyDistressed
7223.25,117.87,-4590.41,47.53,25.7,4.29,19.89,4.29,1.47,FinanciallyDistressed
9427.95,219.07,-4045.78,56.51,16.02,3.91,0.0,3.91,0.29,FinanciallyDistressed
6254.34,295.94,-2368.65,45.98,19.17,7.08,19.17,7.08,1.05,FinanciallyDistressed
9282.81,956.21,-5234.0,36.49,13.88,19.11,0.0,19.11,0.15,FinanciallyVulnerable
6021.32,0.0,-489.57,38.6,10.9,0.0,0.0,0.0,0.5,FinanciallyDistressed
9313.69,1090.87,-199.66,29.78,10.44,10.69,0.0,10.69,3.39,FinanciallyStable
7418.16,2745.21,4025.08,14.13,2.81,19.35,0.0,19.35,3.65,FinanciallyThriving
15350.82,1378.77,-9171.91,73.26,23.56,18.24,23.26,18.24,3.23,FinanciallyVulnerable
7569.19,288.97,1132.39,24.46,0.04,3.21,0.0,3.21,1.55,FinanciallyStable
5295.4,0.0,-2379.98,81.14,8.11,0.0,0.0,0.0,1.23,FinanciallyDistressed
4413.15,311.67,-2806.99,91.07,11.26,16.25,0.0,16.25,2.01,FinanciallyVulnerable
6556.06,360.07,-3264.48,81.04,0.65,9.86,0.0,9.86,1.08,FinanciallyDistressed
12991.1,3891.43,-1651.06,39.63,3.73,25.55,0.0,25.55,0.74,FinanciallyVulnerable
16234.97,1679.41,-1382.35,35.87,22.74,10.16,11.9,10.16,0.47,FinanciallyVulnerable
5657.62,0.0,-2031.43,72.29,8.82,0.0,0.0,0.0,0.73,FinanciallyDistressed
5265.97,410.41,-2313.45,44.47,23.01,12.2,12.75,12.2,1.63,FinanciallyVulnerable
8821.95,0.0,2386.81,23.92,6.61,0.0,0.0,0.0,2.12,FinanciallyStable
10477.35,104.05,-5863.47,75.13,0.65,2.21,0.0,2.21,0.05,FinanciallyDistressed
4472.92,145.92,-2199.16,51.88,4.41,6.03,0.0,6.03,0.29,FinanciallyDistressed
6835.76,1061.86,-3438.14,26.95,12.27,23.81,11.77,23.81,4.04,FinanciallyStable
4852.22,0.0,-1686.07,45.88,29.16,0.0,10.69,0.0,0.24,FinanciallyDistressed
8185.26,664.29,-3889.92,57.16,13.0,13.39,12.48,13.39,3.55,FinanciallyVulnerable
7510.64,509.95,-3453.52,54.77,17.83,11.17,11.42,11.17,2.64,FinanciallyDistressed
6344.07,0.0,-2007.7,44.08,16.49,0.0,12.72,0.0,1.64,FinanciallyDistressed
12522.33,500.29,-2265.54,40.86,0.08,4.65,0.0,4.65,0.85,FinanciallyDistressed
10043.33,276.04,644.85,24.78,28.41,2.52,18.08,2.52,0.07,FinanciallyVulnerable
8341.62,888.29,787.67,35.11,0.11,8.87,0.0,8.87,2.39,FinanciallyStable
5123.32,0.0,-2383.58,49.33,17.06,0.0,0.0,0.0,1.38,FinanciallyDistressed
6855.19,1087.41,-224.88,28.27,10.81,14.09,10.48,14.09,1.86,FinanciallyStable
4369.64,0.0,-1208.64,55.08,10.13,0.0,0.0,0.0,1.5,FinanciallyDistressed
7579.33,134.21,-3978.97,77.97,3.89,3.59,0.0,3.59,0.09,FinanciallyDistressed
8299.24,0.0,-4295.29,58.69,14.5,0.0,0.0,0.0,0.0,FinanciallyDistressed
4125.55,485.22,-2323.12,56.73,7.91,21.21,0.0,21.21,1.69,FinanciallyVulnerable
2954.29,174.95,-317.69,32.16,0.69,6.22,0.0,6.22,1.87,FinanciallyVulnerable
6749.25,1448.52,-1036.96,30.01,5.26,20.23,0.0,20.23,3.28,FinanciallyStable
4270.44,233.86,-1039.77,33.93,20.66,6.75,0.0,6.75,1.23,FinanciallyVulnerable
4348.19,0.0,-1122.8,52.41,12.54,0.0,12.31,0.0,0.28,FinanciallyDistressed
12143.37,1687.23,-4217.83,45.28,26.0,17.55,14.07,17.55,3.19,FinanciallyVulnerable
11563.25,1532.66,-2446.25,29.75,2.32,14.39,0.0,14.39,0.08,FinanciallyVulnerable
11606.37,1367.82,-865.85,30.54,21.61,11.3,13.05,11.3,1.26,FinanciallyVulnerable
5681.43,93.4,-2238.16,67.21,0.52,2.64,0.0,2.64,5.78,FinanciallyDistressed
9714.82,515.89,-4930.71,48.63,25.9,9.73,11.07,9.73,1.72,FinanciallyVulnerable
4104.38,254.53,-1593.61,44.29,12.89,9.2,0.0,9.2,1.88,FinanciallyVulnerable
6374.99,150.7,-2058.49,54.63,0.87,3.37,0.0,3.37,1.82,FinanciallyDistressed
5786.92,412.31,-3462.46,71.46,6.25,15.07,0.0,15.07,3.24,FinanciallyVulnerable
11628.17,798.99,-7796.39,89.35,6.41,17.25,0.0,17.25,1.05,FinanciallyVulnerable
10525.68,1190.42,-1709.64,26.28,32.7,11.9,17.29,11.9,1.48,FinanciallyVulnerable
3503.11,370.49,-956.22,39.34,10.97,12.7,10.69,12.7,2.72,FinanciallyVulnerable
9173.23,360.72,-5631.34,82.58,1.23,9.24,0.0,9.24,1.46,FinanciallyDistressed
4650.63,0.0,-2507.45,74.28,7.03,0.0,0.0,0.0,0.63,FinanciallyDistressed
6894.13,920.37,-617.25,24.38,21.14,12.79,13.71,12.79,1.31,FinanciallyVulnerable
5299.97,222.82,-2640.98,51.97,14.34,7.73,14.19,7.73,5.49,FinanciallyVulnerable
5219.39,478.99,-551.77,36.16,9.92,9.31,0.0,9.31,1.83,FinanciallyVulnerable
5314.26,0.0,-2683.76,77.95,5.57,0.0,0.0,0.0,0.89,FinanciallyDistressed
4637.21,132.58,-1442.9,71.88,1.31,3.99,0.0,3.99,5.62,FinanciallyDistressed
5949.65,0.0,-2949.12,48.71,29.48,0.0,8.33,0.0,1.44,FinanciallyDistressed
11814.12,0.0,-7057.17,92.02,0.96,0.0,0.0,0.0,0.91,FinanciallyDistressed
5308.71,0.0,-1906.09,53.73,0.47,0.0,0.0,0.0,0.61,FinanciallyDistressed
7783.28,0.0,-4316.25,60.25,8.24,0.0,0.0,0.0,1.78,FinanciallyDistressed
14404.57,1526.86,-6724.66,62.31,14.15,16.58,0.0,16.58,3.66,FinanciallyVulnerable
5903.39,168.55,-1776.47,43.82,15.68,3.92,15.34,3.92,0.51,FinanciallyDistressed
3835.54,221.03,-1200.7,32.89,10.06,7.74,0.0,7.74,1.73,FinanciallyVulnerable
7310.26,0.0,-4326.86,70.06,46.54,0.0,18.69,0.0,1.21,FinanciallyDistressed
