personID,housingStatus,housingCost,propertyTax,hoaFees,homeInsurance,utilities,internet,phone
31,Own,3913.92,326.16,0.0,91.88,232.21,80.74,175.42
32,Rent,1961.83,0.0,0.0,19.51,279.82,67.36,221.34
33,Rent,1942.47,0.0,0.0,22.68,197.57,55.07,68.88
34,Rent,1729.17,0.0,0.0,33.8,183.03,80.18,86.78
35,Rent,2384.77,0.0,0.0,32.21,188.07,92.02,210.9
36,Own,2017.31,168.11,0.0,193.52,213.0,105.8,202.43
37,Own,947.87,78.99,0.0,94.47,160.3,53.61,37.79
38,Rent,2618.83,0.0,0.0,15.56,183.22,79.25,76.07
39,Rent,3118.32,0.0,0.0,17.2,192.7,118.38,251.59
40,Own,3067.98,255.66,223.68,189.72,300.83,58.45,217.31
41,Rent,1952.58,0.0,0.0,18.15,210.96,78.02,103.0
42,Own,1524.3,127.02,0.0,148.72,269.92,69.25,129.68
43,Rent,1459.02,0.0,0.0,19.55,280.19,59.38,66.66
44,Own,1943.62,161.97,0.0,82.48,207.96,108.73,91.16
45,Rent,2532.79,0.0,0.0,16.69,245.89,98.8,83.02
46,Own,1864.98,155.42,0.0,165.18,295.67,78.81,82.51
47,Own,1995.89,166.32,0.0,101.88,206.39,75.83,106.3
48,Rent,1839.0,0.0,0.0,19.58,305.67,107.94,147.14
49,Own,3113.71,259.48,0.0,125.27,168.67,56.35,68.37
50,Own,1758.69,146.56,94.22,158.87,213.43,60.28,72.51
51,Own,1329.98,110.83,327.4,136.32,200.46,113.46,77.57
52,Own,3236.89,269.74,381.84,193.35,126.76,107.2,48.6
53,Rent,1355.53,0.0,0.0,23.68,175.66,104.24,143.9
54,Rent,2591.19,0.0,0.0,18.98,221.53,93.68,117.27
55,Own,1894.86,157.9,0.0,144.34,214.75,70.47,43.41
56,Own,2509.49,209.12,0.0,134.11,212.99,115.44,79.86
57,Rent,2674.13,0.0,0.0,30.74,145.66,84.43,64.95
58,Own,850.21,70.85,0.0,192.21,186.78,69.64,38.71
59,Rent,3879.26,0.0,0.0,31.73,150.21,75.59,72.09
60,Own,2719.23,226.6,248.94,126.68,254.05,51.18,211.63
61,Own,1825.47,152.12,0.0,105.93,214.26,67.86,109.04
62,Own,2972.87,247.74,151.86,189.74,280.44,63.16,293.46
63,Own,3721.04,310.09,249.41,126.31,178.59,59.49,131.59
64,Own,3312.76,276.06,217.74,172.42,206.28,52.25,57.63
65,Own,1827.44,152.29,0.0,198.74,273.66,65.88,158.72
66,Own,3392.88,282.74,314.38,149.29,282.44,57.25,129.45
67,Rent,1513.1,0.0,0.0,24.6,203.23,53.16,120.34
68,Rent,1632.86,0.0,0.0,29.0,235.94,59.61,117.28
69,Own,2011.37,167.61,102.37,103.27,303.48,64.17,233.55
70,Own,1656.82,138.07,328.63,138.59,168.02,79.12,51.45
71,Own,3217.85,268.15,0.0,117.48,252.79,90.86,145.15
72,Own,2685.91,223.83,83.52,99.71,216.46,72.56,196.41
73,Rent,2203.45,0.0,0.0,27.2,207.73,59.89,91.48
74,Rent,1512.75,0.0,0.0,26.51,159.54,115.82,38.89
75,Rent,1758.68,0.0,0.0,30.22,214.32,86.04,91.91
76,Own,2020.05,168.34,0.0,184.76,245.46,101.93,243.88
77,Rent,1566.61,0.0,0.0,19.41,130.67,98.61,45.26
78,Rent,1390.39,0.0,0.0,30.59,180.35,69.94,47.84
79,Own,1259.66,104.97,0.0,124.09,137.75,89.19,58.56
80,Rent,2379.99,0.0,0.0,27.58,193.25,92.15,198.87
81,Own,1455.55,121.3,245.2,182.03,202.16,74.63,97.96
82,Rent,1806.86,0.0,0.0,20.12,184.75,96.95,144.3
83,Own,2076.54,173.04,0.0,152.12,185.01,105.35,39.44
84,Rent,2197.94,0.0,0.0,24.61,256.55,75.49,135.56
85,Rent,1467.09,0.0,0.0,30.81,265.44,51.04,116.24
86,Own,2102.62,175.22,79.3,163.67,149.74,74.45,59.33
87,Own,4017.9,334.82,278.29,172.36,252.78,58.18,347.49
88,Rent,1462.27,0.0,0.0,20.76,187.5,60.89,82.52
89,Own,2165.74,180.48,335.73,164.52,182.43,75.62,116.8
90,Own,2237.9,186.49,0.0,152.7,189.78,64.53,154.08
91,Rent,1897.14,0.0,0.0,24.13,156.59,115.44,22.99
92,Own,5639.39,469.95,0.0,125.4,280.01,95.7,236.0
93,Rent,2300.11,0.0,0.0,21.63,177.84,86.29,63.45
94,Rent,2033.34,0.0,0.0,15.19,149.79,50.68,74.04
95,Rent,1907.09,0.0,0.0,18.39,225.61,57.25,128.66
96,Rent,1200.97,0.0,0.0,16.18,265.97,105.19,190.64
97,Rent,3488.6,0.0,0.0,31.97,125.69,77.28,68.12
98,Rent,1813.31,0.0,0.0,32.2,192.99,53.18,34.81
99,Rent,999.63,0.0,0.0,31.92,184.62,107.79,60.81
100,Rent,3215.22,0.0,0.0,31.36,242.21,71.19,109.24
101,Rent,905.1,0.0,0.0,19.43,178.23,77.04,73.8
102,Own,1458.68,121.56,395.88,139.01,241.58,118.21,139.48
103,Rent,1659.09,0.0,0.0,33.16,219.78,51.09,61.66
104,Own,3063.91,255.33,0.0,171.17,305.56,100.49,223.66
105,Own,1323.02,110.25,0.0,80.22,169.15,116.42,33.23
106,Rent,1730.84,0.0,0.0,24.19,272.74,54.47,280.93
107,Own,1838.16,153.18,0.0,81.28,138.95,110.63,45.51
108,Own,2072.21,172.68,0.0,113.68,198.96,79.14,102.26
109,Rent,2483.55,0.0,0.0,23.72,288.86,111.46,161.19
110,Rent,1038.3,0.0,0.0,32.86,137.99,71.58,37.83
111,Own,1581.15,131.76,0.0,158.53,151.66,118.79,61.12
112,Rent,4953.78,0.0,0.0,22.25,195.32,95.29,116.6
113,Own,2793.58,232.8,0.0,138.88,239.92,93.9,191.31
114,Own,3654.11,304.51,374.28,178.09,178.09,106.41,52.58
115,Rent,2405.41,0.0,0.0,20.99,273.1,80.56,267.01
116,Own,2056.03,171.34,0.0,153.8,201.75,68.11,121.13
117,Own,1638.26,136.52,0.0,111.47,185.73,68.41,123.68
118,Rent,1606.21,0.0,0.0,24.6,208.33,73.14,89.4
119,Rent,1531.28,0.0,0.0,15.49,188.84,93.21,94.47
120,Own,1281.61,106.8,0.0,182.27,164.34,108.69,21.51
121,Rent,1124.95,0.0,0.0,15.97,159.71,84.97,37.33
122,Own,1755.89,146.32,0.0,106.92,222.12,78.24,156.56
123,Own,2089.7,174.14,264.78,120.02,288.96,105.57,210.76
124,Rent,1878.13,0.0,0.0,27.5,228.21,70.28,223.81
125,Rent,1413.37,0.0,0.0,29.4,191.56,98.23,161.93
126,Rent,1770.48,0.0,0.0,16.61,192.11,57.41,145.27
127,Rent,1873.18,0.0,0.0,15.87,235.86,57.93,176.82
128,Rent,1984.52,0.0,0.0,30.98,187.7,95.08,42.01
129,Own,1390.87,115.91,326.46,165.46,186.95,55.79,128.01
130,Own,2524.51,210.38,284.12,179.79,200.37,60.85,113.9
131,Rent,1310.75,0.0,0.0,28.53,196.68,93.71,167.13
132,Rent,3000.86,0.0,0.0,30.02,171.39,80.67,193.49
133,Own,4482.8,373.57,0.0,125.48,241.1,89.29,142.09
134,Own,2743.2,228.6,93.3,150.82,184.05,118.39,124.27
135,Own,1844.01,153.67,0.0,176.65,167.04,94.24,86.9
136,Rent,2053.29,0.0,0.0,18.44,247.32,91.36,220.9
137,Own,1454.48,121.21,270.86,130.74,161.37,76.61,56.54
138,Own,1551.22,129.27,0.0,168.86,162.69,94.16,66.82
139,Rent,1762.09,0.0,0.0,25.65,200.75,50.91,96.56
140,Own,2001.58,166.8,0.0,161.8,194.68,89.01,74.88
141,Rent,1330.65,0.0,0.0,20.86,182.0,54.82,41.54
142,Own,1920.95,160.08,0.0,83.88,234.74,65.41,112.29
143,Rent,3648.0,0.0,0.0,15.58,180.57,89.42,137.27
144,Rent,1829.94,0.0,0.0,33.86,141.78,96.76,48.13
145,Rent,5838.61,0.0,0.0,33.89,277.55,76.94,217.35
146,Rent,1360.68,0.0,0.0,19.23,191.03,79.33,75.35
147,Rent,1019.04,0.0,0.0,17.95,153.72,84.86,22.05
148,Own,1989.78,165.82,0.0,82.18,214.08,103.14,110.37
149,Rent,1450.83,0.0,0.0,19.63,160.09,51.23,31.94
150,Rent,2711.9,0.0,0.0,21.69,247.24,81.29,220.79
151,Own,1906.32,158.86,169.38,108.95,198.6,51.0,59.92
152,Own,2960.44,246.7,0.0,175.69,204.55,72.34,81.96
153,Rent,3828.0,0.0,0.0,29.99,180.39,86.39,127.49
154,Rent,1943.44,0.0,0.0,16.62,263.33,55.59,80.59
155,Own,1400.46,116.7,0.0,163.68,169.68,83.96,24.43
156,Rent,3918.46,0.0,0.0,25.41,255.75,114.72,149.1
157,Rent,1511.32,0.0,0.0,17.64,169.58,97.97,58.39
158,Rent,2826.87,0.0,0.0,29.79,245.45,104.76,280.41
159,Rent,2020.67,0.0,0.0,16.72,144.91,90.63,56.41
160,Own,1525.65,127.14,282.5,101.26,162.73,112.75,144.08
161,Rent,1728.08,0.0,0.0,17.98,250.23,60.28,100.35
162,Rent,1874.31,0.0,0.0,33.78,202.03,81.49,77.6
163,Own,2399.09,199.92,127.64,163.78,247.96,91.79,264.65
164,Own,2251.4,187.62,0.0,129.35,254.41,111.14,258.43
165,Rent,2482.98,0.0,0.0,31.44,174.54,71.56,113.14
166,Rent,1991.36,0.0,0.0,19.32,133.45,50.08,47.83
167,Own,3032.27,252.69,281.56,191.73,299.1,118.21,83.9
168,Own,4487.01,373.92,0.0,163.64,237.45,51.82,141.7
169,Own,1799.83,149.99,249.68,147.15,195.31,60.67,57.42
170,Own,2289.3,190.78,0.0,175.36,262.84,79.54,91.26
171,Own,1555.76,129.65,178.4,157.37,142.84,84.75,62.68
172,Own,1672.05,139.34,274.71,186.45,184.5,108.41,81.67
173,Rent,1158.17,0.0,0.0,31.58,213.02,81.35,118.97
174,Rent,1241.1,0.0,0.0,18.96,194.21,88.32,73.76
175,Own,2158.39,179.87,0.0,108.76,181.47,64.0,85.01
176,Own,2360.84,196.74,0.0,87.81,215.16,89.84,111.13
177,Own,3036.6,253.05,0.0,106.42,252.37,74.39,289.68
178,Rent,2628.32,0.0,0.0,21.87,127.17,56.91,64.55
179,Own,2262.03,188.5,0.0,83.46,196.44,116.25,106.06
180,Rent,1222.91,0.0,0.0,21.3,166.67,55.72,64.51
181,Rent,1921.42,0.0,0.0,30.43,215.0,97.45,139.73
182,Rent,1495.1,0.0,0.0,31.81,227.78,113.57,174.36
183,Rent,3824.94,0.0,0.0,15.18,234.47,62.54,107.46
184,Own,2094.15,174.51,385.13,80.86,167.21,66.6,43.53
185,Own,4215.88,351.32,92.55,97.56,226.54,79.87,194.51
186,Rent,3607.27,0.0,0.0,32.45,218.29,70.62,179.67
187,Own,2394.03,199.5,0.0,136.31,127.08,103.13,55.75
188,Own,2261.77,188.48,0.0,197.95,178.76,73.67,133.87
189,Own,2299.35,191.61,0.0,186.48,295.36,119.01,120.54
190,Own,3345.53,278.79,332.64,186.82,346.81,110.12,225.47
191,Rent,2862.87,0.0,0.0,17.57,131.61,112.67,27.03
192,Own,1648.8,137.4,0.0,137.03,164.99,54.46,92.59
193,Own,3517.74,293.14,0.0,199.23,188.17,62.34,97.7
194,Rent,1053.17,0.0,0.0,17.98,176.62,61.86,43.0
195,Rent,966.99,0.0,0.0,26.48,177.26,97.04,23.87
196,Own,2589.68,215.81,0.0,121.31,268.59,50.83,198.48
197,Own,1082.57,90.21,226.53,126.54,146.14,106.45,35.77
198,Own,1913.72,159.48,0.0,186.9,278.84,88.29,156.15
199,Own,2772.29,231.02,0.0,150.55,271.94,89.64,220.89
200,Own,4496.6,374.72,89.0,171.05,203.2,87.61,64.28
201,Own,3075.47,256.29,0.0,160.79,213.89,87.47,122.43
202,Rent,1881.61,0.0,0.0,25.58,159.78,63.85,43.18
203,Rent,2082.51,0.0,0.0,30.83,299.73,69.82,116.22
204,Own,1583.62,131.97,98.24,196.49,200.75,84.13,211.3
205,Rent,2109.64,0.0,0.0,34.34,313.95,97.45,286.82
206,Own,1400.17,116.68,0.0,174.73,209.74,69.04,89.3
207,Own,3605.86,300.49,58.38,138.48,187.6,106.43,94.52
208,Own,2602.91,216.91,359.08,99.58,153.17,106.74,45.88
209,Own,2839.25,236.6,320.85,85.34,216.76,69.17,50.99
210,Own,1529.94,127.5,0.0,107.77,150.94,89.2,41.88
211,Rent,1708.48,0.0,0.0,21.81,194.21,74.42,24.05
212,Own,2642.87,220.24,0.0,95.58,228.13,63.35,235.36
213,Rent,1307.32,0.0,0.0,19.5,239.69,106.42,140.66
214,Rent,3164.99,0.0,0.0,16.67,274.67,119.4,145.91
215,Rent,1922.84,0.0,0.0,25.47,146.97,89.6,41.49
216,Own,1826.37,152.2,357.32,95.16,250.57,113.98,195.42
217,Rent,2135.26,0.0,0.0,29.86,209.99,94.95,40.36
218,Own,3039.04,253.25,0.0,119.92,240.52,89.6,141.77
219,Own,2004.3,167.03,200.16,160.65,212.31,83.61,47.56
220,Own,5536.39,461.37,181.6,185.9,242.58,66.5,102.01
221,Rent,2199.38,0.0,0.0,16.72,216.57,55.9,77.52
222,Rent,2365.59,0.0,0.0,34.78,215.76,80.96,45.07
223,Rent,1746.48,0.0,0.0,27.9,151.04,89.29,49.2
224,Rent,2959.4,0.0,0.0,16.07,226.45,85.66,80.19
225,Rent,6036.29,0.0,0.0,21.28,246.36,98.69,184.08
226,Rent,5929.89,0.0,0.0,32.72,311.22,63.45,147.21
227,Own,2621.35,218.45,0.0,151.55,157.88,74.79,61.89
228,Own,1495.37,124.61,0.0,114.47,147.74,79.09,46.52
229,Own,2680.83,223.4,0.0,192.86,191.49,63.06,133.3
230,Own,3544.79,295.4,0.0,174.47,285.46,113.45,358.87
231,Rent,1255.43,0.0,0.0,29.71,196.0,97.71,146.65
232,Rent,1201.97,0.0,0.0,32.77,257.47,56.43,102.93
233,Rent,1452.74,0.0,0.0,30.4,151.54,99.9,62.22
234,Own,2835.06,236.26,0.0,114.41,287.35,88.35,176.38
235,Rent,2501.48,0.0,0.0,26.68,195.48,86.68,130.32
236,Own,1911.28,159.27,0.0,181.07,212.52,119.29,135.51
237,Rent,4395.15,0.0,0.0,18.62,276.81,93.27,112.05
238,Rent,2716.58,0.0,0.0,18.26,217.53,112.77,92.56
239,Rent,3516.71,0.0,0.0,18.18,173.4,113.95,105.22
240,Own,1351.38,112.62,0.0,103.31,226.31,57.1,47.27
241,Rent,2181.72,0.0,0.0,17.06,201.76,50.59,135.1
242,Own,1740.99,145.08,0.0,180.52,145.26,80.47,37.29
243,Rent,2911.98,0.0,0.0,31.37,292.93,103.85,280.63
244,Rent,2350.0,0.0,0.0,18.03,201.12,107.69,142.09
245,Rent,1297.89,0.0,0.0,29.11,189.49,105.12,59.59
246,Rent,904.18,0.0,0.0,27.54,143.21,81.31,68.73
247,Rent,2148.88,0.0,0.0,20.52,261.9,102.5,47.65
248,Own,1175.64,97.97,0.0,107.28,165.86,100.31,47.1
249,Own,1690.55,140.88,0.0,110.07,133.51,71.97,51.07
250,Own,4352.85,362.74,0.0,167.68,222.64,61.81,115.79
251,Rent,3168.69,0.0,0.0,21.39,278.76,93.5,105.71
252,Rent,3697.89,0.0,0.0,20.56,230.11,97.4,112.25
253,Own,2377.04,198.09,0.0,82.7,184.53,89.76,56.06
254,Own,2577.26,214.77,213.2,188.99,247.73,64.92,94.87
255,Rent,1224.8,0.0,0.0,30.05,176.25,69.37,45.81
256,Own,2440.55,203.38,0.0,136.73,199.75,99.59,106.04
257,Own,1955.8,162.98,0.0,193.15,194.68,117.38,218.09
258,Rent,4137.59,0.0,0.0,20.87,303.72,116.14,292.12
259,Own,2629.54,219.13,215.31,160.96,197.98,86.38,52.53
260,Rent,1147.63,0.0,0.0,21.1,174.85,112.06,31.8
261,Rent,3222.73,0.0,0.0,21.29,252.62,52.06,113.45
262,Own,1591.97,132.66,0.0,181.37,191.28,110.28,106.8
263,Rent,1754.88,0.0,0.0,30.74,158.53,83.33,32.26
264,Rent,1497.55,0.0,0.0,20.88,235.95,104.71,176.59
265,Own,1861.16,155.1,366.2,89.77,166.13,50.39,26.3
266,Own,2050.48,170.87,0.0,122.91,230.5,110.8,77.36
267,Own,2391.38,199.28,0.0,171.21,181.82,91.65,62.52
268,Own,1461.53,121.79,0.0,92.07,238.47,66.82,197.12
269,Own,4377.24,364.77,0.0,160.65,261.32,74.32,155.95
270,Own,1828.28,152.36,0.0,186.77,208.53,64.05,62.74
271,Rent,2088.77,0.0,0.0,18.58,205.53,79.71,218.1
272,Own,5736.55,478.05,0.0,183.46,220.76,73.1,247.44
273,Rent,1882.19,0.0,0.0,16.03,211.22,87.42,128.78
274,Rent,939.2,0.0,0.0,28.34,156.62,107.03,32.25
275,Rent,2090.1,0.0,0.0,30.82,214.54,118.76,130.03
276,Own,3433.05,286.09,0.0,133.37,218.01,67.6,95.01
277,Rent,1175.11,0.0,0.0,19.07,243.31,57.46,78.05
278,Rent,2331.05,0.0,0.0,33.49,132.87,77.7,32.15
279,Own,2305.91,192.16,266.4,82.4,177.99,60.05,73.36
280,Own,3009.56,250.8,0.0,146.61,193.68,108.4,299.38
281,Own,1928.07,160.67,168.71,124.74,164.42,85.08,43.21
282,Own,1760.21,146.68,0.0,135.33,262.61,93.4,291.92
283,Own,1397.75,116.48,0.0,144.39,240.45,60.54,209.23
284,Rent,1295.62,0.0,0.0,25.69,172.83,102.47,33.53
285,Own,2370.93,197.58,355.48,104.43,199.39,118.15,55.92
286,Own,1844.12,153.68,350.19,161.56,189.43,83.77,33.38
287,Own,1819.3,151.61,103.73,82.3,146.58,117.37,68.53
288,Own,2623.82,218.65,0.0,82.54,276.24,52.43,226.45
289,Rent,1818.12,0.0,0.0,24.57,187.94,52.5,89.65
290,Rent,1821.31,0.0,0.0,25.84,165.22,117.2,130.23
291,Own,2037.43,169.79,0.0,112.99,288.02,99.02,132.08
292,Rent,1199.81,0.0,0.0,26.03,168.9,63.21,66.31
293,Own,1277.18,106.43,0.0,141.93,184.11,75.47,102.39
294,Rent,1346.34,0.0,0.0,21.98,254.89,85.54,253.81
295,Rent,959.97,0.0,0.0,28.04,197.05,99.18,102.83
296,Own,2529.82,210.82,234.26,194.95,149.52,108.94,31.55
297,Own,1233.93,102.83,104.74,138.9,215.82,55.79,92.14
298,Own,1424.4,118.7,72.19,174.33,193.36,95.96,82.14
299,Rent,2561.44,0.0,0.0,19.95,150.18,83.37,122.26
300,Rent,1334.12,0.0,0.0,30.24,281.84,91.83,207.01
301,Rent,1145.54,0.0,0.0,27.98,210.88,85.6,144.57
302,Rent,1670.69,0.0,0.0,27.79,201.19,81.55,203.92
303,Rent,1582.61,0.0,0.0,32.86,191.57,64.39,120.58
304,Own,1507.88,125.66,0.0,108.0,151.32,83.06,28.21
305,Own,3551.88,295.99,270.27,124.21,215.21,63.28,172.5
306,Own,1393.03,116.09,0.0,89.97,200.8,53.12,75.34
307,Own,2288.01,190.67,399.44,167.13,212.64,76.17,128.23
308,Own,2190.92,182.58,0.0,181.26,203.33,51.75,178.64
309,Own,1848.21,154.02,0.0,128.7,222.06,89.38,91.92
310,Own,1543.12,128.59,0.0,122.82,183.03,55.07,130.6
311,Own,2805.56,233.8,0.0,159.04,201.6,80.63,85.11
312,Rent,2703.28,0.0,0.0,16.51,132.96,118.61,64.2
313,Rent,1260.81,0.0,0.0,20.88,166.37,50.69,21.76
314,Rent,2071.34,0.0,0.0,22.32,141.4,75.68,27.4
315,Own,1756.7,146.39,0.0,142.23,282.18,97.13,184.74
316,Own,1708.47,142.37,92.23,137.19,206.4,61.12,26.29
317,Rent,2198.55,0.0,0.0,19.17,247.97,89.25,230.43
318,Own,3344.86,278.74,0.0,144.89,242.1,68.07,179.39
319,Own,2520.83,210.07,0.0,191.1,228.08,65.59,169.26
320,Own,1831.22,152.6,0.0,83.25,223.72,112.65,130.01
321,Rent,1347.52,0.0,0.0,28.61,161.08,64.23,96.28
322,Own,1302.71,108.56,0.0,154.97,156.34,76.36,69.34
323,Own,2371.36,197.61,55.96,190.93,218.29,61.87,205.29
324,Rent,3048.36,0.0,0.0,27.91,180.02,69.87,143.8
325,Own,1653.53,137.79,248.49,154.98,146.35,70.52,48.02
326,Own,4205.51,350.46,280.4,172.38,352.75,72.87,350.82
327,Own,2091.63,174.3,0.0,112.14,153.11,94.87,66.81
328,Own,1543.32,128.61,258.71,151.49,142.76,101.98,58.23
329,Own,2077.61,173.13,0.0,142.33,276.27,85.75,133.38
330,Rent,2554.54,0.0,0.0,23.77,270.79,92.73,125.35
331,Rent,1312.1,0.0,0.0,16.59,201.47,106.93,144.91
332,Own,1728.44,144.04,0.0,115.12,151.24,119.97,27.13
333,Rent,1347.02,0.0,0.0,20.6,161.07,81.96,57.74
334,Rent,1587.49,0.0,0.0,29.49,159.33,115.55,86.7
335,Rent,1146.0,0.0,0.0,33.41,155.14,84.33,66.04
336,Rent,1974.03,0.0,0.0,19.62,169.51,104.74,62.53
337,Own,2276.14,189.68,0.0,88.95,145.63,90.13,27.91
338,Own,2374.57,197.88,192.32,199.99,189.98,111.88,91.46
339,Rent,2859.24,0.0,0.0,28.82,289.19,81.41,86.06
340,Own,3174.68,264.56,0.0,186.38,243.87,98.71,130.87
341,Rent,1403.07,0.0,0.0,17.88,214.1,82.64,117.02
342,Own,1814.89,151.24,0.0,176.09,144.41,109.99,32.77
343,Rent,1860.84,0.0,0.0,31.27,268.24,119.61,258.21
344,Rent,2325.02,0.0,0.0,18.03,206.2,67.03,45.85
345,Rent,1750.32,0.0,0.0,18.23,223.05,83.2,65.7
346,Own,1965.65,163.8,0.0,115.45,196.58,55.69,43.02
347,Rent,1867.0,0.0,0.0,19.34,208.99,59.87,70.8
348,Rent,1731.58,0.0,0.0,34.51,162.43,115.04,45.69
349,Own,2533.75,211.15,0.0,123.55,216.43,88.05,77.73
350,Rent,2499.8,0.0,0.0,30.23,286.38,77.66,299.28
351,Rent,2421.08,0.0,0.0,31.1,213.17,97.0,299.9
352,Own,2118.37,176.53,0.0,126.31,146.02,89.21,97.18
353,Rent,1890.29,0.0,0.0,28.65,236.16,70.21,153.72
354,Rent,3251.0,0.0,0.0,17.16,263.65,65.86,354.87
355,Rent,1008.64,0.0,0.0,22.94,142.98,91.32,62.34
356,Own,3231.4,269.28,209.49,196.08,175.44,63.18,58.47
357,Rent,2125.26,0.0,0.0,18.37,235.49,59.74,127.17
358,Own,3021.26,251.77,0.0,126.29,213.98,72.29,98.11
359,Own,1772.25,147.69,0.0,174.86,172.87,110.29,87.33
360,Own,3992.19,332.68,0.0,159.85,215.4,52.58,147.86
361,Rent,2431.5,0.0,0.0,27.63,167.63,108.33,118.87
362,Own,1163.83,96.99,0.0,182.39,147.56,93.47,28.26
363,Rent,1232.57,0.0,0.0,15.58,221.46,52.83,48.38
364,Own,3774.4,314.53,0.0,172.54,183.13,92.14,67.64
365,Own,2547.2,212.27,136.26,185.91,249.08,79.82,261.89
366,Rent,2447.92,0.0,0.0,15.32,163.31,108.88,48.78
367,Own,1955.56,162.96,0.0,147.08,173.14,113.5,56.43
368,Rent,1374.98,0.0,0.0,21.97,168.1,70.05,119.12
369,Rent,2196.34,0.0,0.0,16.02,253.81,104.89,138.63
370,Rent,1767.22,0.0,0.0,23.35,205.6,71.69,34.15
371,Rent,2299.0,0.0,0.0,27.88,173.66,70.69,46.48
372,Own,1692.96,141.08,288.98,190.28,184.57,63.48,144.59
373,Rent,1535.4,0.0,0.0,27.41,257.33,97.49,264.32
374,Own,3013.71,251.14,0.0,182.81,170.28,68.32,91.21
375,Rent,1797.7,0.0,0.0,17.43,206.62,82.54,97.22
376,Rent,971.34,0.0,0.0,19.21,239.31,106.85,206.79
377,Own,2487.43,207.29,359.44,196.44,174.0,105.43,55.1
378,Own,1031.06,85.92,0.0,186.49,161.79,109.88,42.26
379,Own,1691.95,141.0,124.54,108.23,199.49,61.27,52.28
380,Own,2597.97,216.5,0.0,154.52,212.85,91.08,245.39
381,Own,2125.92,177.16,0.0,123.52,179.23,114.04,37.43
382,Own,3051.32,254.28,0.0,136.23,226.79,52.94,213.39
383,Rent,2340.93,0.0,0.0,32.22,194.3,105.62,102.66
384,Rent,1924.57,0.0,0.0,29.71,234.3,67.24,292.4
385,Own,1446.56,120.55,0.0,108.61,172.66,96.88,49.57
386,Own,2424.8,202.07,0.0,117.92,195.16,100.22,109.35
387,Own,1137.28,94.77,284.01,114.77,194.67,114.79,48.97
388,Rent,1527.38,0.0,0.0,30.61,212.27,85.62,169.77
389,Own,2008.79,167.4,0.0,138.81,229.69,109.38,153.4
390,Own,1662.79,138.57,97.49,194.09,236.38,53.17,166.24
391,Own,1114.77,92.9,0.0,178.0,154.76,79.44,48.19
392,Rent,3254.83,0.0,0.0,19.22,247.14,80.77,231.11
393,Own,2181.92,181.83,0.0,174.31,241.6,87.68,121.67
394,Own,2060.4,171.7,0.0,140.73,210.79,83.69,176.31
395,Own,2715.29,226.27,0.0,110.45,134.97,117.76,25.23
396,Own,3992.72,332.73,0.0,123.6,219.85,55.5,165.12
397,Own,1635.11,136.26,205.98,196.66,171.37,68.55,35.44
398,Rent,2279.55,0.0,0.0,24.68,246.89,117.8,167.65
399,Own,1659.69,138.31,160.55,166.35,239.67,81.17,111.16
400,Own,1907.59,158.97,0.0,137.25,202.1,89.98,61.22
401,Rent,806.29,0.0,0.0,22.43,138.07,55.67,47.62
402,Rent,2376.99,0.0,0.0,30.93,173.24,69.88,137.34
403,Rent,1259.73,0.0,0.0,31.97,209.21,52.78,180.64
