personID,retirement401k,iraContribution,emergencyFundContributions,generalSavings,investmentContributions,contributions529
70,0.0,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,159.65,0.0,0.0,0.0
72,0.0,0.0,256.69,139.71,0.0,0.0
73,0.0,222.68,0.0,526.21,599.49,0.0
74,0.0,0.0,0.0,97.22,0.0,0.0
75,355.8,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,232.81,0.0,0.0,0.0
77,299.64,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,174.45,0.0,0.0,0.0
80,0.0,0.0,431.15,0.0,0.0,0.0
81,0.0,0.0,0.0,164.73,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0,0.0
83,195.2,0.0,0.0,0.0,0.0,0.0
84,106.01,0.0,0.0,0.0,0.0,0.0
85,384.19,445.04,270.9,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0,0.0
87,522.48,349.62,0.0,327.98,0.0,0.0
88,0.0,0.0,138.56,142.62,0.0,0.0
89,0.0,0.0,83.24,0.0,0.0,0.0
90,0.0,0.0,138.11,118.23,0.0,0.0
91,0.0,0.0,125.61,42.85,0.0,0.0
92,1349.32,175.67,1150.95,612.96,497.22,127.93
93,0.0,0.0,0.0,0.0,674.26,0.0
94,406.3,0.0,400.97,0.0,0.0,0.0
95,0.0,0.0,0.0,0.0,0.0,0.0
96,326.79,0.0,213.46,150.05,0.0,0.0
97,0.0,0.0,839.24,0.0,398.72,0.0
98,0.0,0.0,0.0,88.76,0.0,0.0
99,0.0,0.0,164.3,0.0,0.0,0.0
100,542.89,0.0,0.0,0.0,415.36,0.0
101,0.0,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,0.0,214.24,0.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,315.53,118.14,0.0,0.0
108,0.0,0.0,190.98,0.0,0.0,0.0
109,0.0,0.0,528.05,0.0,673.06,0.0
110,0.0,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,0.0,684.77,1016.94,389.99
113,392.95,0.0,0.0,0.0,0.0,0.0
114,219.98,0.0,256.31,0.0,0.0,0.0
115,0.0,0.0,0.0,193.11,0.0,0.0
116,0.0,328.37,293.69,0.0,0.0,0.0
117,527.71,0.0,0.0,0.0,0.0,0.0
118,0.0,0.0,56.35,0.0,0.0,0.0
119,0.0,0.0,0.0,0.0,0.0,0.0
120,360.89,0.0,123.31,0.0,0.0,0.0
121,851.18,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,142.79,163.11,0.0,0.0
123,0.0,0.0,0.0,0.0,0.0,317.87
124,0.0,0.0,221.71,0.0,0.0,0.0
125,0.0,0.0,189.06,101.94,0.0,0.0
126,0.0,0.0,0.0,199.3,0.0,0.0
127,0.0,0.0,342.68,0.0,0.0,0.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,0.0,0.0,93.48,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,1067.04,0.0
131,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,0.0
133,0.0,374.24,551.93,451.68,0.0,0.0
134,193.74,0.0,308.52,0.0,0.0,0.0
135,486.6,0.0,0.0,204.53,0.0,0.0
136,0.0,280.1,212.97,0.0,0.0,491.11
137,0.0,207.62,0.0,552.02,724.08,0.0
138,0.0,0.0,0.0,97.02,0.0,0.0
139,0.0,198.35,135.09,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,274.4,0.0,0.0,0.0
142,0.0,0.0,240.92,0.0,0.0,0.0
143,0.0,283.74,0.0,0.0,789.59,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,0.0,0.0,0.0,649.21,0.0
146,0.0,279.89,0.0,0.0,614.25,0.0
147,487.72,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,119.3,0.0,0.0
149,117.03,0.0,0.0,0.0,0.0,0.0
150,0.0,392.54,0.0,0.0,902.19,0.0
151,571.26,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0
153,338.51,0.0,0.0,477.71,0.0,0.0
154,510.42,0.0,0.0,0.0,312.94,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,1050.94,434.39
157,383.7,0.0,0.0,0.0,0.0,0.0
158,425.19,0.0,285.69,0.0,0.0,0.0
159,0.0,0.0,256.52,149.44,0.0,0.0
160,443.82,0.0,0.0,0.0,0.0,0.0
161,737.91,0.0,0.0,0.0,0.0,132.86
162,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,218.24,128.1,0.0,0.0
164,710.27,0.0,330.76,196.25,0.0,0.0
165,0.0,0.0,0.0,273.12,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,531.43,437.75,0.0,481.17
168,0.0,0.0,318.73,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0
171,238.82,0.0,0.0,0.0,0.0,0.0
172,0.0,217.87,397.63,0.0,0.0,309.35
173,0.0,0.0,186.41,0.0,0.0,0.0
174,0.0,0.0,245.42,0.0,0.0,0.0
175,359.4,0.0,0.0,0.0,0.0,0.0
176,0.0,0.0,235.18,258.29,0.0,0.0
177,768.99,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,227.09,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,244.53,0.0,0.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,652.0,0.0
184,0.0,233.12,262.73,0.0,609.9,0.0
185,0.0,0.0,0.0,113.76,0.0,0.0
186,0.0,278.51,1072.34,0.0,713.08,0.0
187,306.82,0.0,302.09,0.0,0.0,0.0
188,0.0,0.0,0.0,314.0,0.0,118.48
189,189.79,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0
191,385.12,0.0,375.76,0.0,0.0,0.0
192,0.0,0.0,0.0,81.07,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,91.24,0.0,0.0,0.0
195,148.65,0.0,0.0,349.03,0.0,0.0
196,306.76,0.0,297.56,175.36,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0
198,935.31,0.0,310.73,0.0,0.0,0.0
199,1281.28,543.09,875.34,0.0,0.0,0.0
200,1116.5,0.0,1126.91,0.0,508.68,172.14
201,433.64,0.0,457.82,310.09,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,343.24,425.97,0.0,0.0,0.0
204,0.0,0.0,126.35,51.4,0.0,0.0
205,0.0,0.0,444.54,0.0,607.86,0.0
206,102.73,0.0,0.0,0.0,0.0,0.0
207,0.0,0.0,125.45,0.0,0.0,0.0
208,0.0,0.0,0.0,0.0,0.0,0.0
209,178.24,0.0,99.3,0.0,0.0,0.0
210,0.0,0.0,460.86,147.83,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,117.87,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,219.07
215,0.0,0.0,0.0,295.94,0.0,0.0
216,184.82,514.09,0.0,0.0,0.0,257.3
217,0.0,0.0,0.0,0.0,0.0,0.0
218,629.8,0.0,0.0,0.0,461.07,0.0
219,1694.32,187.78,0.0,442.13,420.98,0.0
220,961.7,0.0,0.0,286.17,0.0,130.9
221,0.0,0.0,0.0,0.0,0.0,288.97
222,0.0,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,173.11,138.56,0.0,0.0
224,360.07,0.0,0.0,0.0,0.0,0.0
225,0.0,493.01,1274.46,969.82,1032.54,121.6
226,899.05,0.0,0.0,0.0,780.36,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0
228,254.88,0.0,0.0,155.53,0.0,0.0
229,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,104.05,0.0,0.0
231,0.0,0.0,0.0,145.92,0.0,0.0
232,513.48,0.0,226.06,322.32,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,327.3,336.99,0.0,0.0
235,266.45,0.0,243.5,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,379.3,0.0,0.0,0.0,120.99
238,0.0,276.04,0.0,0.0,0.0,0.0
239,0.0,0.0,517.77,0.0,370.52,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,678.37,0.0,409.04,0.0
242,0.0,0.0,0.0,0.0,0.0,0.0
243,0.0,0.0,0.0,134.21,0.0,0.0
244,0.0,0.0,0.0,0.0,0.0,0.0
245,162.79,0.0,192.75,129.68,0.0,0.0
246,0.0,0.0,0.0,174.95,0.0,0.0
247,0.0,0.0,631.68,558.03,258.81,0.0
248,0.0,0.0,233.86,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0
250,773.2,232.24,0.0,681.79,0.0,0.0
251,0.0,421.73,0.0,0.0,630.54,480.39
252,0.0,0.0,0.0,274.21,1093.61,0.0
253,0.0,0.0,93.4,0.0,0.0,0.0
254,168.2,0.0,0.0,129.92,0.0,217.77
255,0.0,0.0,141.7,112.83,0.0,0.0
256,0.0,0.0,150.7,0.0,0.0,0.0
257,0.0,0.0,233.21,179.1,0.0,0.0
258,514.17,0.0,0.0,284.82,0.0,0.0
259,0.0,0.0,0.0,0.0,1190.42,0.0
260,0.0,0.0,191.83,178.66,0.0,0.0
261,360.72,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0
263,557.8,0.0,0.0,0.0,362.57,0.0
264,0.0,0.0,119.03,103.79,0.0,0.0
265,478.99,0.0,0.0,0.0,0.0,0.0
266,0.0,0.0,0.0,0.0,0.0,0.0
267,0.0,0.0,132.58,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0
272,1046.97,0.0,0.0,0.0,225.91,253.98
273,0.0,0.0,0.0,168.55,0.0,0.0
274,0.0,0.0,221.03,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,0.0,0.0
276,568.52,156.0,0.0,230.35,0.0,0.0
277,0.0,0.0,0.0,128.99,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0,0.0
279,0.0,0.0,0.0,0.0,0.0,0.0
280,0.0,0.0,0.0,0.0,0.0,498.79
281,574.9,0.0,0.0,272.7,0.0,0.0
282,0.0,0.0,0.0,0.0,0.0,0.0
283,0.0,0.0,94.52,0.0,0.0,0.0
284,203.32,0.0,0.0,0.0,0.0,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0
286,378.37,440.93,0.0,392.08,0.0,0.0
287,244.47,0.0,243.04,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,1198.38,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,238.22,0.0,0.0
292,0.0,0.0,0.0,80.13,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,192.07,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,570.74,537.31,0.0
297,217.57,0.0,139.94,0.0,0.0,0.0
298,0.0,0.0,0.0,115.8,0.0,0.0
299,0.0,0.0,380.88,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0
301,87.83,0.0,53.15,0.0,0.0,0.0
302,228.29,0.0,0.0,259.31,0.0,0.0
303,0.0,0.0,243.59,0.0,0.0,0.0
304,741.16,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,225.34,0.0,0.0
306,0.0,0.0,75.54,0.0,0.0,0.0
307,512.33,0.0,677.57,0.0,531.1,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,441.36,0.0,0.0
310,0.0,0.0,254.15,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,621.72,0.0
312,229.03,0.0,0.0,245.51,0.0,0.0
313,0.0,0.0,182.58,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0,233.39,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0
318,309.7,0.0,323.97,0.0,1031.19,436.28
319,0.0,0.0,257.92,129.47,0.0,0.0
320,564.82,0.0,0.0,0.0,0.0,0.0
321,0.0,0.0,0.0,198.37,0.0,0.0
322,411.89,0.0,0.0,0.0,0.0,0.0
323,0.0,0.0,94.23,0.0,0.0,0.0
324,0.0,0.0,835.03,0.0,594.81,0.0
325,0.0,0.0,183.85,0.0,0.0,0.0
326,0.0,0.0,66.55,0.0,0.0,0.0
327,0.0,0.0,124.17,70.34,0.0,0.0
328,573.26,0.0,0.0,297.43,0.0,0.0
329,274.21,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,264.89,0.0,0.0
331,356.49,0.0,0.0,0.0,0.0,0.0
332,298.85,0.0,546.24,310.56,0.0,0.0
333,0.0,0.0,0.0,388.61,0.0,0.0
334,204.66,0.0,244.42,126.96,0.0,0.0
335,199.86,0.0,174.48,0.0,0.0,0.0
336,178.58,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,357.67,0.0,0.0,0.0
339,605.41,0.0,0.0,0.0,0.0,396.43
340,530.45,0.0,0.0,0.0,0.0,0.0
341,0.0,0.0,384.62,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0,0.0,0.0
343,250.36,0.0,0.0,278.22,0.0,0.0
344,191.45,0.0,115.82,150.79,0.0,0.0
345,0.0,0.0,0.0,216.31,0.0,0.0
346,0.0,0.0,0.0,157.64,0.0,0.0
347,156.29,0.0,0.0,76.37,0.0,0.0
348,0.0,0.0,304.58,76.13,0.0,0.0
349,0.0,330.49,419.32,0.0,0.0,489.3
350,0.0,297.03,0.0,0.0,734.03,0.0
351,310.44,0.0,197.1,265.63,0.0,0.0
352,426.21,0.0,0.0,0.0,0.0,0.0
353,0.0,0.0,144.78,188.11,0.0,0.0
354,0.0,0.0,434.95,566.61,710.14,0.0
355,0.0,0.0,0.0,83.52,0.0,0.0
356,0.0,0.0,0.0,338.27,1037.96,0.0
357,0.0,0.0,0.0,256.99,0.0,0.0
358,0.0,213.48,196.1,0.0,646.23,0.0
359,0.0,0.0,118.53,0.0,0.0,0.0
360,0.0,0.0,691.03,0.0,0.0,0.0
361,0.0,310.9,0.0,0.0,380.83,0.0
362,495.12,0.0,0.0,0.0,0.0,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0
364,721.01,0.0,264.92,0.0,673.13,0.0
365,0.0,0.0,0.0,317.07,0.0,0.0
366,0.0,0.0,0.0,0.0,0.0,0.0
367,0.0,0.0,118.58,0.0,0.0,0.0
368,0.0,0.0,78.24,152.1,0.0,0.0
369,0.0,0.0,0.0,0.0,0.0,0.0
370,264.8,0.0,0.0,432.85,0.0,0.0
371,366.56,0.0,0.0,0.0,275.7,0.0
372,328.2,0.0,455.49,0.0,0.0,0.0
373,0.0,0.0,138.4,0.0,0.0,0.0
374,467.64,0.0,0.0,0.0,0.0,0.0
375,0.0,0.0,167.28,0.0,0.0,0.0
376,0.0,0.0,158.78,0.0,0.0,0.0
377,0.0,0.0,349.75,169.53,0.0,0.0
378,0.0,0.0,151.13,0.0,0.0,0.0
379,0.0,0.0,228.11,229.1,0.0,0.0
380,0.0,0.0,0.0,71.06,0.0,0.0
381,0.0,0.0,194.23,0.0,0.0,0.0
382,311.55,0.0,0.0,0.0,0.0,0.0
383,0.0,0.0,0.0,0.0,409.33,0.0
384,533.52,0.0,220.69,0.0,0.0,0.0
385,0.0,0.0,457.08,0.0,0.0,0.0
386,0.0,0.0,0.0,0.0,0.0,0.0
387,0.0,0.0,129.34,163.1,0.0,0.0
388,294.92,0.0,220.52,574.17,482.52,0.0
389,164.99,0.0,148.25,0.0,0.0,0.0
390,0.0,0.0,0.0,128.38,0.0,0.0
391,0.0,0.0,180.26,0.0,0.0,0.0
392,0.0,0.0,88.53,0.0,0.0,0.0
393,575.4,180.11,340.15,0.0,649.91,460.62
394,229.97,0.0,0.0,84.47,0.0,0.0
395,0.0,0.0,482.46,0.0,0.0,0.0
396,0.0,0.0,0.0,0.0,0.0,0.0
397,352.23,0.0,0.0,207.91,0.0,0.0
398,942.98,0.0,0.0,0.0,0.0,348.35
399,317.29,0.0,122.64,119.28,0.0,0.0
400,0.0,0.0,0.0,0.0,0.0,0.0
401,0.0,0.0,135.78,0.0,0.0,0.0
402,0.0,0.0,229.72,133.66,0.0,0.0
403,0.0,0.0,264.53,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0
405,0.0,0.0,0.0,146.35,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0
407,340.5,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,358.86,0.0
409,276.33,0.0,72.73,173.56,0.0,0.0
410,0.0,0.0,0.0,170.15,0.0,0.0
411,0.0,0.0,305.56,213.21,0.0,0.0
412,0.0,0.0,302.63,0.0,0.0,0.0
413,0.0,0.0,0.0,157.72,0.0,0.0
414,0.0,0.0,0.0,0.0,242.62,221.51
415,0.0,232.44,0.0,257.82,0.0,0.0
416,277.86,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,237.55,0.0,0.0,0.0
418,0.0,0.0,0.0,0.0,0.0,0.0
419,261.47,0.0,289.09,0.0,0.0,0.0
420,759.85,0.0,616.76,0.0,578.74,0.0
421,219.18,0.0,207.46,162.63,0.0,0.0
422,1186.14,0.0,389.71,0.0,323.01,0.0
423,0.0,0.0,162.84,114.97,0.0,0.0
424,0.0,0.0,104.9,0.0,0.0,0.0
425,151.79,0.0,0.0,61.31,0.0,0.0
426,0.0,0.0,380.3,0.0,0.0,0.0
427,0.0,0.0,163.69,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0,0.0,0.0
429,545.03,0.0,602.77,0.0,0.0,191.31
430,0.0,475.04,419.12,0.0,0.0,0.0
431,178.03,0.0,0.0,0.0,0.0,0.0
432,0.0,0.0,246.12,0.0,0.0,0.0
433,288.56,0.0,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0,0.0,0.0
436,1064.67,0.0,0.0,0.0,743.24,0.0
437,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,267.08,0.0,0.0,0.0
439,166.93,0.0,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,438.6,0.0,0.0
442,0.0,0.0,0.0,0.0,0.0,0.0
443,305.19,0.0,0.0,0.0,0.0,0.0
444,0.0,0.0,0.0,206.48,401.33,0.0
445,0.0,0.0,0.0,136.95,0.0,0.0
446,0.0,0.0,293.91,0.0,0.0,0.0
447,0.0,0.0,0.0,0.0,0.0,0.0
448,0.0,0.0,0.0,0.0,0.0,0.0
449,0.0,0.0,360.12,0.0,711.45,475.61
450,0.0,0.0,145.26,99.16,0.0,0.0
451,0.0,447.79,361.11,0.0,0.0,0.0
452,0.0,0.0,0.0,0.0,0.0,0.0
453,0.0,0.0,230.34,121.2,0.0,0.0
454,431.69,0.0,0.0,0.0,0.0,0.0
455,0.0,0.0,0.0,0.0,0.0,0.0
456,490.99,0.0,581.48,0.0,1045.2,0.0
457,0.0,0.0,0.0,0.0,0.0,0.0
458,216.82,0.0,0.0,0.0,0.0,0.0
459,98.74,0.0,80.3,0.0,0.0,0.0
460,170.65,0.0,0.0,0.0,0.0,0.0
461,0.0,0.0,0.0,0.0,0.0,0.0
462,399.03,0.0,350.25,296.87,0.0,0.0
463,0.0,0.0,0.0,0.0,0.0,0.0
464,0.0,0.0,0.0,161.68,0.0,0.0
465,0.0,0.0,0.0,336.12,0.0,0.0
466,0.0,0.0,0.0,0.0,0.0,0.0
467,0.0,0.0,148.01,0.0,0.0,0.0
468,521.06,0.0,0.0,0.0,0.0,0.0
469,263.98,0.0,671.97,202.24,570.98,0.0
470,0.0,0.0,0.0,148.5,0.0,0.0
471,0.0,0.0,0.0,0.0,0.0,0.0
472,0.0,0.0,0.0,217.49,0.0,0.0
473,0.0,489.57,0.0,298.66,0.0,0.0
474,0.0,461.65,149.98,226.16,0.0,236.91
475,0.0,0.0,149.61,0.0,0.0,0.0
476,0.0,0.0,124.37,0.0,0.0,0.0
477,0.0,0.0,194.79,0.0,0.0,0.0
478,0.0,0.0,0.0,136.02,0.0,0.0
479,0.0,0.0,136.17,0.0,0.0,0.0
480,274.1,0.0,0.0,274.46,0.0,0.0
481,0.0,0.0,142.91,0.0,0.0,0.0
482,0.0,0.0,236.79,89.72,0.0,0.0
483,0.0,0.0,0.0,0.0,0.0,0.0
484,338.4,0.0,266.17,235.17,0.0,0.0
485,0.0,0.0,162.57,0.0,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0
487,0.0,0.0,0.0,229.77,0.0,0.0
488,571.74,0.0,917.19,583.41,0.0,434.19
489,0.0,0.0,231.74,382.17,0.0,0.0
490,0.0,0.0,0.0,0.0,0.0,0.0
491,263.43,0.0,0.0,0.0,0.0,0.0
492,322.01,0.0,0.0,0.0,0.0,0.0
493,0.0,0.0,363.2,224.96,0.0,0.0
494,376.44,0.0,0.0,557.35,623.09,0.0
495,0.0,0.0,488.97,276.44,0.0,199.57
496,225.82,0.0,0.0,263.71,0.0,0.0
497,0.0,0.0,315.4,0.0,0.0,0.0
498,0.0,0.0,0.0,0.0,751.91,0.0
499,0.0,0.0,73.79,71.54,0.0,0.0
500,0.0,0.0,0.0,180.41,0.0,0.0
501,161.6,0.0,0.0,69.24,0.0,0.0
502,0.0,0.0,0.0,303.21,731.1,0.0
503,0.0,0.0,0.0,71.37,0.0,0.0
504,223.29,0.0,0.0,0.0,0.0,0.0
505,0.0,0.0,0.0,125.26,0.0,0.0
506,616.32,0.0,0.0,0.0,0.0,0.0
507,0.0,0.0,184.42,0.0,0.0,0.0
508,0.0,0.0,0.0,0.0,0.0,0.0
509,0.0,0.0,0.0,201.3,0.0,0.0
510,0.0,0.0,0.0,0.0,570.35,0.0
511,723.71,202.63,497.74,0.0,985.4,0.0
512,0.0,0.0,0.0,519.88,482.52,0.0
513,0.0,0.0,0.0,0.0,0.0,0.0
514,0.0,0.0,96.43,0.0,0.0,0.0
515,378.58,0.0,0.0,182.75,0.0,0.0
516,0.0,0.0,287.19,0.0,0.0,0.0
517,0.0,0.0,0.0,127.34,0.0,0.0
518,536.64,0.0,0.0,0.0,0.0,0.0
519,0.0,0.0,0.0,0.0,0.0,0.0
520,0.0,0.0,0.0,0.0,0.0,0.0
521,0.0,0.0,0.0,177.35,0.0,0.0
522,0.0,0.0,0.0,208.92,0.0,0.0
523,0.0,0.0,0.0,0.0,0.0,0.0
524,458.49,0.0,0.0,197.06,0.0,0.0
525,0.0,0.0,153.71,0.0,0.0,0.0
526,0.0,0.0,356.55,0.0,0.0,0.0
527,0.0,0.0,141.48,0.0,0.0,0.0
528,0.0,0.0,0.0,217.97,0.0,0.0
529,0.0,0.0,0.0,0.0,0.0,310.06
530,0.0,0.0,0.0,0.0,0.0,0.0
531,0.0,0.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,181.71,0.0,0.0
533,0.0,0.0,0.0,0.0,0.0,0.0
534,0.0,0.0,159.78,273.02,0.0,0.0
