,age,gender,raceEthnicity,education,region,householdType,householdSize,career,workArrangement,annualIncome,sideHustleIncome,monthlyIncome,housingStatus,housingCost,propertyTax,hoaFees,homeInsurance,utilities,internet,phone,ownsCar,carPayment,carInsurance,gas,publicTransit,carMaintenance,healthInsurance,oopMedical,dentalVision,lifeInsurance,studentLoans,ccPayment,personalLoans,medicalDebt,groceries,diningOut,coffee,alcohol,streaming,musicStreaming,gaming,gym,otherSubscriptions,clothing,personalCare,householdSupplies,childcare,petExpenses,entertainment,hobbies,travel,gifts,donations,retirement401k,iraContribution,emergencyFundContributions,generalSavings,investmentContributions,contributions529,totalExpenses,totalSavingsInvestments,monthlyCashFlow,housingRatio,debtToIncome,savingsInvestmentsRate,carPaymentRatio,monthsSaved,financialHealth,ageCategory
10,25,Female,White,Some College/Associate's,Northeast,Single,1,Service,Hybrid,34115.03,0.0,2842.9191666666666,Own,2406.22,200.52,0.0,190.83,177.67,79.1,44.35,True,0.0,240.32,113.21,0.0,125.93,208.65,75.15,22.61,0.0,251.47,325.29,0.0,0.0,350.5,249.03,10.19,86.93,26.19,12.89,0.0,0.0,2.93,58.47,50.54,130.75,0.0,0.0,136.38,0.0,12.84,114.14,0.0,0.0,0.0,0.0,60.62,0.0,0.0,5703.1,60.62,-2920.8,84.64,20.29,2.13,0.0,0.55,FinanciallyDistressed,25-30
11,65,Female,White,Bachelor's,Northeast,DINKS,2,Retired,Retired,43840.7564007473,2832.82,3889.464700062275,Own,2241.03,186.75,0.0,181.09,168.17,56.29,50.55,True,0.0,120.31,62.4,0.0,67.01,291.03,104.72,64.75,0.0,0.0,32.96,0.0,0.0,673.79,231.29,20.73,31.0,24.4,11.79,0.0,0.0,0.0,123.25,138.44,134.27,0.0,0.0,40.59,0.0,101.27,42.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5200.24,0.0,-1310.78,57.62,0.85,0.0,0.0,1.52,FinanciallyDistressed,60-65
12,55,Female,Asian,High School,South,Single,1,Construction,Office,44485.8,0.0,3707.15,Own,1177.99,98.17,0.0,121.87,163.14,63.75,44.75,False,0.0,0.0,0.0,94.59,0.0,123.32,156.05,57.56,0.0,0.0,15.81,0.0,0.0,364.71,201.03,7.49,65.16,26.5,0.0,0.0,0.0,0.0,167.49,64.89,91.04,0.0,124.27,40.56,86.79,77.19,63.53,0.0,0.0,0.0,0.0,106.87,0.0,0.0,3497.65,106.87,102.63,31.78,0.43,2.88,0.0,0.81,FinanciallyVulnerable,50-55
13,30,Female,Black/African American,High School,Midwest,SmallFamily,4,Construction,Office,38828.94,0.0,3235.7450000000003,Rent,1907.49,0.0,0.0,22.6,240.79,88.11,144.78,True,0.0,146.67,262.13,0.0,72.69,524.78,195.32,74.46,0.0,0.0,34.25,0.0,256.27,1053.75,342.55,6.47,109.29,55.74,10.35,25.12,0.0,58.35,45.06,261.1,210.69,0.0,76.34,103.33,94.37,48.66,43.58,0.0,0.0,0.0,187.6,0.0,0.0,0.0,6515.09,187.6,-3466.94,58.95,8.98,5.8,0.0,1.72,FinanciallyDistressed,25-30
14,30,Male,Black/African American,Bachelor's,South,SmallFamily,5,Finance,Hybrid,93839.68,12739.86,8881.628333333332,Own,3441.93,286.83,0.0,119.27,291.84,62.44,313.93,True,0.0,125.43,170.79,0.0,69.39,661.28,251.39,46.76,164.01,408.27,4.29,0.0,0.0,2285.75,550.43,20.22,45.0,56.31,0.0,0.0,0.0,0.0,155.68,308.19,200.16,936.86,0.0,227.32,136.38,369.16,97.0,0.0,0.0,0.0,699.83,0.0,0.0,179.87,11806.31,879.7,-3804.38,38.75,4.65,9.9,0.0,1.72,FinanciallyVulnerable,25-30
15,30,Female,Asian,Master's,South,SingleParent,2,Finance,Office,97369.11,5092.62,8538.477499999999,Rent,1890.85,0.0,0.0,16.85,197.16,54.48,50.63,True,0.0,239.88,256.6,0.0,82.21,188.89,110.22,68.3,0.0,266.85,279.0,0.0,0.0,772.79,711.46,42.05,30.84,56.36,13.03,27.85,0.0,0.0,219.15,148.46,109.96,922.33,185.16,107.68,69.02,231.84,49.37,61.41,0.0,0.0,0.0,0.0,0.0,0.0,7460.68,0.0,1077.8,22.15,6.39,0.0,0.0,1.54,FinanciallyStable,25-30
16,30,Male,White,High School,Northeast,SmallFamily,3,Transportation,Hybrid,35825.83,0.0,2985.4858333333336,Own,2401.11,200.09,222.63,83.77,261.52,100.04,134.48,True,0.0,218.72,115.09,0.0,85.5,651.28,243.59,63.32,0.0,0.0,162.51,0.0,0.0,943.1,175.39,18.74,113.66,40.44,0.0,19.06,0.0,0.0,42.56,131.86,102.39,0.0,110.69,120.54,55.82,7.93,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6859.16,0.0,-3873.67,80.43,5.44,0.0,0.0,0.07,FinanciallyDistressed,25-30
17,40,Male,White,High School,South,SmallFamily,3,Admin,Office,42917.41,0.0,3576.450833333334,Rent,1382.24,0.0,0.0,24.04,184.1,104.9,157.58,True,688.93,126.95,240.97,0.0,131.12,593.17,272.5,72.05,0.0,0.0,37.99,0.0,0.0,937.91,171.89,7.79,36.02,42.93,0.0,0.0,0.0,0.0,79.23,131.12,97.91,0.0,0.0,113.34,31.32,115.95,94.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5876.55,0.0,-2300.1,38.65,20.33,0.0,19.26,0.44,FinanciallyDistressed,35-40
18,35,Male,White,Some College/Associate's,Northeast,SingleParent,3,Healthcare,Office,44205.73,0.0,3683.8108333333334,Own,2505.11,208.76,0.0,193.16,242.37,109.54,222.64,False,0.0,0.0,0.0,86.8,0.0,290.37,254.61,0.0,0.0,297.76,128.65,0.0,0.0,825.17,283.14,63.07,116.56,41.17,12.13,0.0,0.0,0.0,149.9,132.74,97.36,1921.27,0.0,116.86,99.81,196.65,112.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8708.31,0.0,-5024.5,68.0,11.58,0.0,0.0,0.88,FinanciallyDistressed,30-35
19,30,Male,White,Bachelor's,South,SmallFamily,3,Technology,Hybrid,101251.14,18607.97,9988.259166666669,Rent,1704.14,0.0,0.0,33.34,235.49,109.08,74.79,True,0.0,202.36,141.65,0.0,86.09,650.91,205.6,48.96,120.38,0.0,6.52,0.0,0.0,1470.57,453.75,57.46,38.46,26.46,0.0,43.3,67.58,0.0,263.24,156.73,122.98,1231.8,151.01,116.39,131.9,360.61,70.49,41.72,0.0,276.77,176.84,638.39,944.65,0.0,8423.76,2036.65,-472.15,17.06,0.07,20.39,0.0,2.95,FinanciallyStable,25-30
20,40,Male,White,Some College/Associate's,Midwest,SmallFamily,5,Retail,Office,31181.54,5865.6,3087.2616666666668,Own,2048.94,170.74,0.0,177.18,286.54,76.55,131.34,True,0.0,135.62,272.99,0.0,122.72,594.57,252.5,78.51,0.0,145.35,104.32,0.0,0.0,1297.82,296.1,1.5,145.61,12.74,0.0,0.0,0.0,0.0,40.9,202.07,110.57,825.0,0.0,45.64,0.0,37.4,148.76,0.0,0.0,0.0,259.39,0.0,0.0,0.0,7761.98,259.39,-4934.11,66.37,8.09,8.4,0.0,1.08,FinanciallyDistressed,35-40
21,25,Male,White,Bachelor's,South,DINKS,2,Education,Office,40990.67,6556.89,3962.2966666666666,Rent,1860.24,0.0,0.0,27.57,175.67,101.41,148.69,True,0.0,217.68,291.34,0.0,140.38,235.69,269.38,24.43,0.0,498.4,5.31,0.0,0.0,712.82,388.09,80.12,87.43,59.47,10.44,30.37,0.0,0.0,140.63,91.68,136.02,0.0,0.0,181.3,0.0,139.08,74.88,0.0,200.6,0.0,0.0,0.0,0.0,0.0,6128.52,200.6,-2366.82,46.95,12.71,5.06,0.0,0.57,FinanciallyDistressed,25-30
22,30,Male,White,Master's,South,SmallFamily,3,Education,Office,87200.74,0.0,7266.728333333333,Rent,2618.04,0.0,0.0,32.12,209.41,90.85,126.93,True,0.0,173.18,261.44,0.0,61.46,376.01,188.78,45.14,0.0,281.24,4.28,0.0,0.0,1216.26,635.74,23.47,38.1,26.78,15.23,54.47,0.0,54.1,178.83,138.37,170.77,1107.66,0.0,155.21,5.83,329.04,115.56,138.05,0.0,0.0,0.0,454.67,0.0,302.72,8872.35,757.39,-2363.01,36.03,3.93,10.42,0.0,1.0,FinanciallyVulnerable,25-30
23,35,Female,White,Bachelor's,South,SingleParent,2,Business,Remote,70965.58,0.0,5913.798333333333,Rent,1278.14,0.0,0.0,25.3,248.5,51.64,121.81,True,0.0,126.73,60.5,0.0,50.03,290.98,252.54,0.0,80.65,290.52,401.26,0.0,0.0,788.63,412.27,77.53,104.64,46.05,0.0,0.0,0.0,32.79,87.32,125.63,65.01,0.0,141.18,67.23,91.53,86.82,89.35,0.0,0.0,0.0,192.27,328.46,0.0,0.0,5494.58,520.73,-101.51,21.61,11.7,8.81,0.0,3.08,FinanciallyStable,30-35
24,35,Female,White,Some College/Associate's,West,Single,1,Healthcare,Hybrid,44623.09,0.0,3718.590833333333,Own,2980.28,248.36,0.0,101.62,172.74,78.11,63.09,True,0.0,227.82,140.88,0.0,138.87,108.63,155.28,75.47,0.0,0.0,21.49,0.0,0.0,350.33,265.47,1.52,116.72,53.2,0.0,0.0,0.0,0.0,147.63,60.36,119.46,0.0,0.0,121.0,0.0,153.51,122.0,0.0,292.4,0.0,0.0,0.0,0.0,0.0,6023.84,292.4,-2597.65,80.15,0.58,7.86,0.0,0.23,FinanciallyDistressed,30-35
25,50,Male,White,Some College/Associate's,South,DINKS,2,Service,Office,38662.96,0.0,3221.9133333333334,Own,1643.99,137.0,0.0,162.1,180.67,53.7,74.6,True,0.0,194.41,271.17,0.0,73.83,289.63,180.62,0.0,0.0,0.0,254.23,0.0,156.95,698.57,290.62,12.13,93.93,20.67,0.0,0.0,0.0,0.0,56.54,77.27,112.75,0.0,0.0,92.35,0.0,18.27,138.95,0.0,312.41,0.0,0.0,94.17,0.0,0.0,5284.95,406.58,-2469.62,51.03,12.76,12.62,0.0,1.62,FinanciallyVulnerable,45-50
26,30,Male,Asian,High School,Midwest,SmallFamily,3,FoodService,Office,27266.84,0.0,2272.2366666666667,Own,1287.51,107.29,66.28,190.48,237.11,55.83,95.36,False,0.0,0.0,0.0,106.82,0.0,1108.15,63.15,41.12,0.0,0.0,16.87,0.0,0.0,940.29,217.49,12.55,129.09,56.76,12.39,52.94,0.0,0.0,52.89,138.73,74.45,0.0,0.0,139.2,0.0,2.07,128.28,0.0,0.0,0.0,0.0,142.3,0.0,0.0,5333.1,142.3,-3203.16,56.66,0.74,6.26,0.0,1.13,FinanciallyDistressed,25-30
27,40,Female,Hispanic/Latino,Ph.D,South,SingleParent,3,Research,Office,91240.09,0.0,7603.340833333333,Own,2983.64,248.64,0.0,82.35,198.93,53.92,105.56,True,880.64,220.47,168.38,0.0,65.34,298.03,270.87,25.98,66.9,0.0,6.08,0.0,0.0,1091.04,429.65,12.43,63.79,12.94,12.94,0.0,0.0,12.65,177.29,191.54,102.84,0.0,141.03,141.33,0.0,345.13,114.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8524.35,0.0,-921.01,39.24,11.66,0.0,11.58,1.58,FinanciallyVulnerable,35-40
28,40,Male,Asian,Some College/Associate's,South,SingleParent,3,Service,Office,43416.84,5209.26,4052.175,Rent,1567.6,0.0,0.0,20.03,235.87,117.27,186.12,True,529.5,207.69,173.0,0.0,79.52,450.38,85.09,0.0,0.0,0.0,162.57,0.0,0.0,900.01,288.53,2.53,54.01,31.39,11.92,0.0,53.05,0.0,128.47,113.14,177.26,0.0,0.0,113.19,49.61,136.02,113.94,0.0,0.0,0.0,0.0,148.41,0.0,0.0,5987.71,148.41,-2083.95,38.69,17.08,3.66,13.07,0.42,FinanciallyDistressed,35-40
29,25,Female,White,High School,South,DINKS,2,Manufacturing,Office,24931.97,2199.86,2260.9858333333336,Rent,1152.49,0.0,0.0,20.31,193.16,109.09,132.45,True,388.53,176.47,201.53,0.0,68.6,428.65,119.05,39.12,0.0,0.0,182.19,0.0,68.56,502.85,160.45,17.25,95.83,47.09,12.99,0.0,0.0,0.96,72.72,130.97,136.28,0.0,0.0,64.07,39.6,6.12,105.85,0.0,0.0,0.0,0.0,155.85,0.0,0.0,4673.23,155.85,-2568.09,50.97,28.27,6.89,17.18,0.39,FinanciallyDistressed,25-30
30,40,Male,White,Bachelor's,West,SmallFamily,3,Business,Hybrid,126426.79,0.0,10535.565833333332,Own,3913.92,326.16,0.0,91.88,232.21,80.74,175.42,True,0.0,210.83,159.77,0.0,129.37,594.44,129.37,25.89,0.0,275.24,15.58,230.28,0.0,1515.85,1131.93,11.68,58.98,23.77,0.0,0.0,84.2,0.0,264.24,153.04,115.06,1694.93,187.58,134.8,0.0,363.25,116.9,55.84,0.0,0.0,807.59,465.51,0.0,337.27,12503.15,1610.37,-3577.95,37.15,4.95,15.29,0.0,5.69,FinanciallyStable,35-40
31,30,Male,Black/African American,Some College/Associate's,Midwest,SmallFamily,5,Sales,Office,50491.44,8160.27,4887.642500000001,Rent,1961.83,0.0,0.0,19.51,279.82,67.36,221.34,True,0.0,121.92,159.9,0.0,113.45,957.09,78.98,0.0,190.26,0.0,14.24,0.0,0.0,1506.0,534.16,46.13,116.4,39.87,12.2,0.0,0.0,0.0,77.28,223.1,193.96,0.0,0.0,104.61,105.08,89.88,143.34,68.02,201.69,0.0,0.0,320.52,0.0,0.0,7445.73,522.21,-3080.3,40.14,0.29,10.68,0.0,0.48,FinanciallyVulnerable,25-30
32,25,Male,White,Bachelor's,Northeast,DINKS,2,Engineering,Hybrid,82838.17,0.0,6903.180833333333,Rent,1942.47,0.0,0.0,22.68,197.57,55.07,68.88,True,1224.01,164.17,127.55,0.0,66.73,331.63,280.44,39.73,0.0,449.88,746.03,0.0,0.0,877.34,719.31,25.26,154.8,48.05,13.89,0.0,76.66,0.0,295.16,103.72,85.23,0.0,153.14,131.34,0.0,355.44,75.88,104.39,0.0,0.0,0.0,0.0,0.0,0.0,8936.45,0.0,-2033.27,28.14,35.06,0.0,17.73,1.88,FinanciallyDistressed,25-30
33,60,Female,White,Some College/Associate's,South,SingleParent,2,Admin,Office,38164.0,0.0,3180.3333333333335,Rent,1729.17,0.0,0.0,33.8,183.03,80.18,86.78,True,306.86,221.12,197.78,0.0,108.36,280.88,292.51,0.0,0.0,0.0,33.98,0.0,0.0,549.18,324.92,23.5,64.8,11.72,0.0,0.0,0.0,0.0,82.78,103.14,76.69,0.0,131.11,23.27,0.0,39.86,62.15,0.0,0.0,0.0,198.53,0.0,0.0,0.0,5047.57,198.53,-2065.77,54.37,10.72,6.24,9.65,5.36,FinanciallyVulnerable,55-60
34,65,Male,White,High School,West,Other,3,Retired,Retired,30775.019919317132,0.0,2564.5849932764277,Rent,2384.77,0.0,0.0,32.21,188.07,92.02,210.9,True,0.0,176.31,89.14,0.0,70.81,358.81,266.3,73.14,0.0,0.0,49.97,0.0,0.0,955.99,140.2,23.52,25.6,38.85,16.26,0.0,0.0,0.0,54.46,126.59,181.61,0.0,0.0,70.75,38.39,39.95,40.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5745.24,0.0,-3180.66,92.99,1.95,0.0,0.0,1.91,FinanciallyDistressed,60-65
35,50,Female,White,Bachelor's,Midwest,SingleParent,3,Healthcare,Office,74123.68,0.0,6176.973333333332,Own,2017.31,168.11,0.0,193.52,213.0,105.8,202.43,True,635.46,235.36,219.56,0.0,69.76,264.13,136.59,24.0,146.2,0.0,489.99,0.0,0.0,1125.13,460.42,49.29,96.27,26.7,16.45,0.0,0.0,0.0,166.42,168.12,106.09,821.76,0.0,80.19,80.84,66.01,132.31,20.15,0.0,0.0,0.0,270.93,0.0,0.0,8537.37,270.93,-2631.33,32.66,18.22,4.39,10.29,1.79,FinanciallyVulnerable,45-50
36,30,Female,White,Some College/Associate's,South,Single,1,Retail,Hybrid,29111.74,0.0,2425.9783333333335,Own,947.87,78.99,0.0,94.47,160.3,53.61,37.79,True,0.0,199.44,157.15,0.0,109.54,360.86,63.81,78.32,0.0,231.56,7.31,0.0,0.0,338.22,83.04,11.94,71.98,57.63,10.95,0.0,0.0,0.0,77.82,51.84,68.35,0.0,0.0,192.6,0.0,32.99,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625.28,0.0,-1199.3,39.07,9.85,0.0,0.0,1.86,FinanciallyVulnerable,25-30
37,25,Female,White,Some College/Associate's,West,Roommates,2,Admin,Office,37098.08,7040.09,3678.180833333334,Rent,2618.83,0.0,0.0,15.56,183.22,79.25,76.07,True,0.0,242.49,243.83,0.0,116.47,272.6,95.72,59.1,0.0,0.0,178.07,0.0,0.0,617.04,293.65,10.16,172.17,41.8,0.0,0.0,0.0,0.0,66.53,125.46,123.56,0.0,82.02,103.55,79.98,23.8,54.89,0.0,0.0,0.0,208.21,0.0,0.0,0.0,5975.82,208.21,-2505.85,71.2,4.84,5.66,0.0,2.72,FinanciallyDistressed,25-30
38,45,Male,Hispanic/Latino,Some College/Associate's,West,Other,4,Admin,Office,52076.03,0.0,4339.669166666667,Rent,3118.32,0.0,0.0,17.2,192.7,118.38,251.59,True,0.0,192.5,285.42,0.0,84.62,332.41,243.02,71.65,0.0,146.87,410.7,0.0,0.0,1234.27,466.08,24.1,125.67,14.83,0.0,0.0,76.47,0.0,129.96,182.11,198.91,0.0,0.0,123.37,30.89,71.42,142.3,32.88,444.1,0.0,0.0,142.35,0.0,0.0,8318.64,586.45,-4565.42,71.86,12.85,13.51,0.0,0.76,FinanciallyDistressed,40-45
39,35,Female,White,Bachelor's,South,SmallFamily,5,Engineering,Office,85781.86,0.0,7148.488333333334,Own,3067.98,255.66,223.68,189.72,300.83,58.45,217.31,True,0.0,185.06,177.1,0.0,126.34,872.29,121.49,21.73,181.43,466.78,35.79,0.0,0.0,2079.12,517.72,49.69,65.61,57.83,15.86,0.0,76.49,0.0,217.49,379.84,201.47,0.0,0.0,109.0,47.77,369.16,137.57,0.0,0.0,0.0,545.71,473.36,0.0,0.0,10826.26,1019.07,-4696.84,42.92,7.03,14.26,0.0,4.43,FinanciallyVulnerable,30-35
40,25,Female,White,Bachelor's,South,DINKS,2,Finance,Remote,60843.28,0.0,5070.2733333333335,Rent,1952.58,0.0,0.0,18.15,210.96,78.02,103.0,True,0.0,145.64,57.28,0.0,133.72,354.99,273.15,0.0,0.0,286.47,47.77,0.0,0.0,755.73,383.36,80.7,87.24,31.5,12.44,0.0,0.0,0.0,80.99,110.47,105.4,0.0,0.0,175.35,66.54,173.82,146.34,0.0,192.08,0.0,303.68,311.6,0.0,0.0,5871.61,807.36,-1608.7,38.51,6.59,15.92,0.0,0.87,FinanciallyVulnerable,25-30
41,35,Male,Black/African American,Some College/Associate's,South,SmallFamily,3,Manufacturing,Hybrid,48438.41,0.0,4036.534166666667,Own,1524.3,127.02,0.0,148.72,269.92,69.25,129.68,True,0.0,221.25,132.01,0.0,141.63,327.35,258.78,46.07,0.0,232.4,30.18,0.0,0.0,904.5,213.14,103.03,94.22,29.58,0.0,0.0,0.0,0.0,131.27,141.91,145.42,0.0,122.75,119.35,51.58,108.77,62.44,0.0,0.0,0.0,250.42,0.0,0.0,0.0,5886.52,250.42,-2100.41,37.76,6.51,6.2,0.0,3.57,FinanciallyVulnerable,30-35
42,25,Male,White,Bachelor's,Midwest,DINKS,2,Finance,Remote,78234.71,0.0,6519.559166666667,Rent,1459.02,0.0,0.0,19.55,280.19,59.38,66.66,True,0.0,209.97,44.5,0.0,112.61,273.22,109.24,73.97,0.0,229.28,230.06,0.0,0.0,961.77,333.14,64.46,103.66,35.81,0.0,0.0,51.06,0.0,86.95,86.1,78.6,0.0,61.61,55.96,150.99,169.12,94.45,98.99,221.19,475.46,0.0,326.71,0.0,0.0,5600.32,1023.36,-104.12,22.38,7.05,15.7,0.0,0.24,FinanciallyVulnerable,25-30
43,60,Male,White,High School,South,Other,3,Transportation,Office,31560.46,2328.53,2824.0825,Own,1943.62,161.97,0.0,82.48,207.96,108.73,91.16,True,0.0,179.9,174.72,0.0,72.0,483.04,223.36,28.48,0.0,0.0,42.82,0.0,0.0,951.74,248.61,12.16,93.59,37.15,13.18,0.0,0.0,31.57,60.48,114.3,129.34,0.0,0.0,51.14,0.0,28.3,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.2,0.0,-2817.12,68.82,1.52,0.0,0.0,1.38,FinanciallyDistressed,55-60
44,30,Male,Black/African American,Master's,South,SmallFamily,3,Engineering,Office,121690.91,0.0,10140.909166666666,Rent,2532.79,0.0,0.0,16.69,245.89,98.8,83.02,True,966.21,131.32,200.49,0.0,124.85,493.33,160.57,24.35,0.0,308.0,40.08,354.35,0.0,1170.77,1275.38,25.85,139.51,25.46,13.31,0.0,40.55,0.0,278.64,143.48,171.34,1057.38,0.0,109.65,216.22,731.16,125.61,170.45,0.0,0.0,0.0,0.0,0.0,0.0,11475.5,0.0,-1334.59,24.98,16.45,0.0,9.53,0.27,FinanciallyDistressed,25-30
